CHEESMAN,Max T,Min T,Precipitation,Snowfall
11/20/1903,59,23,0,0
11/21/1903,61,25,0,0
11/22/1903,65,21,0,0
11/23/1903,68,27,0,0
11/24/1903,54,30,0,0
11/25/1903,56,20,0,0
11/26/1903,61,21,0,0
11/27/1903,70,25,0,0
11/28/1903,58,21,0,0
11/29/1903,46,23,0,0
11/30/1903,53,19,0,0
12/1/1903,61,22,0,0
12/2/1903,61,26,0,0
12/3/1903,48,16,0,0
12/4/1903,35,5,0,0
12/5/1903,47,5,0,0
12/6/1903,57,11,0,0
12/7/1903,39,10,0,0
12/8/1903,43,15,0,0
12/9/1903,51,14,0,0
12/10/1903,54,12,0,0
12/11/1903,55,16,0,0
12/12/1903,45,0,0.08,0
12/13/1903,51,23,0,0
12/14/1903,47,13,0,0
12/15/1903,57,13,0,0
12/16/1903,55,11,0,0
12/17/1903,57,16,0,0
12/18/1903,51,20,0,0
12/19/1903,40,12,0.3,4.5
12/20/1903,50,8,0,0
12/21/1903,50,25,0,0
12/22/1903,43,12,0,0
12/23/1903,25,8,0.2,2.5
12/24/1903,39,-4,0,0
12/25/1903,39,-3,0,0
12/26/1903,52,9,0,0
12/27/1903,53,7,0,0
12/28/1903,39,16,0,0
12/29/1903,52,4,0,0
12/30/1903,52,9,0,0
12/31/1903,58,16,0,0
1/1/1904,42,10,0,0
1/2/1904,43,3,0,0
1/3/1904,36,4,0,0
1/4/1904,45,11,0,0
1/5/1904,M,10,0,0
1/6/1904,42,0,0,0
1/7/1904,58,4,0,0
1/8/1904,55,9,0,0
1/9/1904,43,7,0,0
1/10/1904,53,-1,0,0
1/11/1904,46,19,T,T
1/12/1904,41,22,0,0
1/13/1904,61,15,0,0
1/14/1904,64,14,0,0
1/15/1904,52,12,0,0
1/16/1904,60,16,0,0
1/17/1904,55,11,0,0
1/18/1904,51,26,0,0
1/19/1904,48,14,0,0
1/20/1904,37,5,0,0
1/21/1904,30,5,0,0
1/22/1904,34,0,0,0
1/23/1904,36,-10,0.06,1.2
1/24/1904,42,15,0,0
1/25/1904,36,9,T,T
1/26/1904,35,4,0,0
1/27/1904,27,-5,0,0
1/28/1904,36,-5,0,0
1/29/1904,38,8,0,0
1/30/1904,34,22,0,0
1/31/1904,45,7,0,0
2/1/1904,53,19,0,0
2/2/1904,49,28,0,0
2/3/1904,56,14,0,0
2/4/1904,60,23,0,0
2/5/1904,55,35,0,0
2/6/1904,48,28,0,0
2/7/1904,38,14,0,0
2/8/1904,37,5,0,0
2/9/1904,36,-2,T,T
2/10/1904,44,0,T,T
2/11/1904,56,14,0,0
2/12/1904,64,25,0,0
2/13/1904,56,44,0,0
2/14/1904,57,25,0,0
2/15/1904,63,29,0,0
2/16/1904,64,29,0,0
2/17/1904,53,22,0.2,3
2/18/1904,42,5,0.1,0.8
2/19/1904,42,2,0,0
2/20/1904,47,9,0,0
2/21/1904,49,14,0,0
2/22/1904,60,32,0,0
2/23/1904,56,41,0,0
2/24/1904,65,31,0,0
2/25/1904,65,51,0,0
2/26/1904,65,27,0,0
2/27/1904,64,46,0,0
2/28/1904,58,28,0,0
2/29/1904,59,23,0,0
3/1/1904,61,29,0,0
3/2/1904,63,25,0,0
3/3/1904,57,8,0,0
3/4/1904,65,26,0,0
3/5/1904,54,26,T,0
3/6/1904,63,23,0,0
3/7/1904,66,34,0,0
3/8/1904,65,26,0,0
3/9/1904,57,32,0,0
3/10/1904,61,25,0,0
3/11/1904,60,34,0,0
3/12/1904,52,28,T,0
3/13/1904,48,14,0,0
3/14/1904,56,22,0,0
3/15/1904,60,24,0,0
3/16/1904,52,28,0.22,1.3
3/17/1904,57,17,0,0
3/18/1904,64,32,0,0
3/19/1904,63,27,0,0
3/20/1904,60,30,T,0
3/21/1904,48,26,T,0
3/22/1904,48,18,0,0
3/23/1904,53,33,0,0
3/24/1904,46,30,T,0
3/25/1904,40,20,0.07,0.5
3/26/1904,38,10,0,0
3/27/1904,53,21,0.02,0.4
3/28/1904,59,31,0,0
3/29/1904,57,35,0,0
3/30/1904,57,31,0,0
3/31/1904,44,30,0.28,T
4/1/1904,44,24,0.16,3.3
4/2/1904,55,25,0,0
4/3/1904,55,29,0,0
4/4/1904,53,31,0,0
4/5/1904,56,24,0,0
4/6/1904,60,30,0,0
4/7/1904,44,21,0,0
4/8/1904,47,17,0,0
4/9/1904,60,16,0,0
4/10/1904,74,26,0,0
4/11/1904,63,41,0,0
4/12/1904,71,29,0,0
4/13/1904,75,27,0,0
4/14/1904,71,41,0,0
4/15/1904,63,27,0,0
4/16/1904,68,18,0,0
4/17/1904,62,24,0,0
4/18/1904,74,26,0,0
4/19/1904,67,35,0,0
4/20/1904,72,48,0,0
4/21/1904,61,37,0,0
4/22/1904,64,36,0,0
4/23/1904,64,26,0,0
4/24/1904,49,32,0.76,0
4/25/1904,58,24,0,0
4/26/1904,64,36,0,0
4/27/1904,73,37,0,0
4/28/1904,69,43,0,0
4/29/1904,61,41,0,0
4/30/1904,56,32,T,0
5/1/1904,58,36,T,0
5/2/1904,48,34,0.61,0
5/3/1904,50,28,0.65,0
5/4/1904,57,31,0,0
5/5/1904,63,35,0,0
5/6/1904,69,31,0,0
5/7/1904,67,41,0,0
5/8/1904,54,30,0,0
5/9/1904,69,24,0,0
5/10/1904,73,33,0,0
5/11/1904,71,35,0,0
5/12/1904,63,35,0,0
5/13/1904,59,31,0,0
5/14/1904,67,33,0,0
5/15/1904,65,41,0,0
5/16/1904,59,37,0,0
5/17/1904,69,31,0,0
5/18/1904,78,36,T,0
5/19/1904,78,38,0,0
5/20/1904,73,47,0,0
5/21/1904,67,45,0,0
5/22/1904,79,39,0,0
5/23/1904,78,40,0.2,0
5/24/1904,77,42,0,0
5/25/1904,69,43,0.36,0
5/26/1904,49,39,0.03,0
5/27/1904,68,40,0.03,0
5/28/1904,65,39,0,0
5/29/1904,75,35,0,0
5/30/1904,76,40,0,0
5/31/1904,69,42,0,0
6/1/1904,75,39,0,0
6/2/1904,62,42,0.12,0
6/3/1904,55,37,0.74,0
6/4/1904,58,38,0.16,0
6/5/1904,62,34,0,0
6/6/1904,78,38,0,0
6/7/1904,77,41,0.04,0
6/8/1904,64,48,0.12,0
6/9/1904,60,43,0.4,0
6/10/1904,80,38,0,0
6/11/1904,78,42,0.06,0
6/12/1904,79,47,0.06,0
6/13/1904,74,50,0,0
6/14/1904,75,45,0.12,0
6/15/1904,77,43,0.4,0
6/16/1904,75,45,0.17,0
6/17/1904,76,44,T,0
6/18/1904,72,40,0.04,0
6/19/1904,76,42,0,0
6/20/1904,76,42,0.03,0
6/21/1904,78,50,0.03,0
6/22/1904,74,55,0,0
6/23/1904,81,45,0.03,0
6/24/1904,78,44,0,0
6/25/1904,61,43,0.07,0
6/26/1904,70,40,0.53,0
6/27/1904,75,39,0,0
6/28/1904,82,41,0,0
6/29/1904,80,43,0,0
6/30/1904,82,46,0,0
7/1/1904,79,45,0.19,0
7/2/1904,76,44,0,0
7/3/1904,73,41,0.13,0
7/4/1904,74,45,0.1,0
7/5/1904,72,44,0,0
7/6/1904,68,48,0.09,0
7/7/1904,70,44,0.03,0
7/8/1904,81,45,0,0
7/9/1904,85,45,0,0
7/10/1904,84,49,0,0
7/11/1904,86,48,0,0
7/12/1904,85,51,0,0
7/13/1904,83,51,0,0
7/14/1904,82,46,0,0
7/15/1904,88,50,0,0
7/16/1904,86,62,0.04,0
7/17/1904,86,45,0,0
7/18/1904,85,51,0,0
7/19/1904,84,52,0,0
7/20/1904,82,51,0,0
7/21/1904,82,49,0.12,0
7/22/1904,79,45,0.07,0
7/23/1904,89,47,0,0
7/24/1904,77,50,0.7,0
7/25/1904,79,49,0.32,0
7/26/1904,80,50,0,0
7/27/1904,82,50,0,0
7/28/1904,82,50,0.1,0
7/29/1904,83,55,0.02,0
7/30/1904,78,50,0.23,0
7/31/1904,74,56,0,0
8/1/1904,74,48,0,0
8/2/1904,82,50,0.23,0
8/3/1904,82,50,0,0
8/4/1904,77,53,0.02,0
8/5/1904,77,47,0.08,0
8/6/1904,82,47,0,0
8/7/1904,70,M,0.07,0
8/8/1904,81,47,0.04,0
8/9/1904,83,45,0,0
8/10/1904,86,53,0,0
8/11/1904,82,52,0.13,0
8/12/1904,83,50,0.28,0
8/13/1904,81,M,0.29,0
8/14/1904,78,54,0.71,0
8/15/1904,78,52,0.1,0
8/16/1904,77,53,0.02,0
8/17/1904,77,52,0.05,0
8/18/1904,73,53,0.06,0
8/19/1904,80,45,T,0
8/20/1904,81,49,0,0
8/21/1904,72,47,0,0
8/22/1904,79,37,0,0
8/23/1904,82,49,0,0
8/24/1904,85,53,0,0
8/25/1904,73,53,0.5,0
8/26/1904,79,48,0,0
8/27/1904,81,51,0.09,0
8/28/1904,76,48,0.16,0
8/29/1904,78,50,0,0
8/30/1904,77,49,0.02,0
8/31/1904,82,45,0.21,0
9/1/1904,75,53,0.13,0
9/2/1904,69,41,0.06,0
9/3/1904,72,40,0.21,0
9/4/1904,78,40,0,0
9/5/1904,78,42,0,0
9/6/1904,79,41,0,0
9/7/1904,82,42,0,0
9/8/1904,85,41,0,0
9/9/1904,87,52,0,0
9/10/1904,75,53,0,0
9/11/1904,73,41,0.24,0
9/12/1904,79,42,0,0
9/13/1904,69,37,0,0
9/14/1904,80,34,0,0
9/15/1904,82,42,0,0
9/16/1904,75,41,0.01,0
9/17/1904,75,41,T,0
9/18/1904,77,43,0,0
9/19/1904,80,42,0,0
9/20/1904,73,45,0.12,0
9/21/1904,75,41,0.03,0
9/22/1904,72,44,0,0
9/23/1904,67,47,0,0
9/24/1904,74,39,0,0
9/25/1904,76,44,0,0
9/26/1904,79,42,0,0
9/27/1904,76,42,T,0
9/28/1904,69,47,0.03,0
9/29/1904,55,47,0.47,0
9/30/1904,59,45,0.57,0
10/1/1904,74,46,0,0
10/2/1904,75,35,0,0
10/3/1904,77,37,0,0
10/4/1904,77,35,0,0
10/5/1904,62,40,0,0
10/6/1904,69,37,T,0
10/7/1904,70,50,0,0
10/8/1904,67,38,0.1,0
10/9/1904,63,44,0.03,0
10/10/1904,64,34,0,0
10/11/1904,66,30,0,0
10/12/1904,66,40,0,0
10/13/1904,64,32,0,0
10/14/1904,70,32,0,0
10/15/1904,71,38,0,0
10/16/1904,68,48,0,0
10/17/1904,62,30,0,0
10/18/1904,48,26,0.4,3.6
10/19/1904,47,18,0,0
10/20/1904,63,22,0,0
10/21/1904,69,31,0,0
10/22/1904,65,29,0,0
10/23/1904,71,31,0,0
10/24/1904,59,29,0,0
10/25/1904,52,24,0,0
10/26/1904,60,24,0,0
10/27/1904,65,23,0,0
10/28/1904,64,26,0,0
10/29/1904,62,25,0,0
10/30/1904,64,24,0,0
10/31/1904,61,23,0,0
11/1/1904,62,22,0,0
11/2/1904,64,22,0,M
11/3/1904,55,26,0,M
11/4/1904,55,25,0,M
11/5/1904,61,21,0,M
11/6/1904,63,20,0,M
11/7/1904,58,21,0,M
11/8/1904,62,21,0,M
11/9/1904,42,22,T,M
11/10/1904,26,8,T,M
11/11/1904,50,2,0,M
11/12/1904,63,13,0,M
11/13/1904,67,19,0,M
11/14/1904,65,19,0,M
11/15/1904,65,21,0,M
11/16/1904,59,31,0,M
11/17/1904,64,26,0,M
11/18/1904,66,28,0,M
11/19/1904,52,28,0,M
11/20/1904,62,18,0,M
11/21/1904,68,32,0,M
11/22/1904,66,26,0,M
11/23/1904,68,26,0,M
11/24/1904,62,21,0,M
11/25/1904,60,18,0,M
11/26/1904,64,20,0,M
11/27/1904,69,25,0,M
11/28/1904,57,35,0,M
11/29/1904,52,20,0,M
11/30/1904,58,34,0,M
12/1/1904,58,31,0,0
12/2/1904,39,23,0,0
12/3/1904,32,23,T,0
12/4/1904,33,19,0.12,1.5
12/5/1904,38,3,0,0
12/6/1904,45,5,0,0
12/7/1904,57,13,0,0
12/8/1904,57,17,0,0
12/9/1904,53,15,0,0
12/10/1904,51,21,0,0
12/11/1904,45,13,0,0
12/12/1904,33,13,T,0
12/13/1904,36,12,0,0
12/14/1904,36,10,0,0
12/15/1904,44,21,0.04,0.5
12/16/1904,37,17,0,0
12/17/1904,49,13,0,0
12/18/1904,48,22,0,0
12/19/1904,56,16,0,0
12/20/1904,57,33,0,0
12/21/1904,56,22,0,0
12/22/1904,52,25,0,0
12/23/1904,43,15,0,0
12/24/1904,44,17,0,0
12/25/1904,40,22,0,0
12/26/1904,28,3,0.13,1.5
12/27/1904,34,-12,0,0
12/28/1904,45,4,0,0
12/29/1904,51,9,0,0
12/30/1904,56,12,0,0
12/31/1904,55,25,0,0
1/1/1905,47,21,T,M
1/2/1905,50,4,0,M
1/3/1905,62,16,0,M
1/4/1905,44,18,0,M
1/5/1905,40,8,0,M
1/6/1905,36,8,0,M
1/7/1905,35,0,T,M
1/8/1905,48,13,0,M
1/9/1905,45,10,0,M
1/10/1905,29,11,0.09,1.3
1/11/1905,13,-1,0.1,1.3
1/12/1905,14,-13,0,M
1/13/1905,35,-11,0,M
1/14/1905,30,4,0,M
1/15/1905,46,9,0,M
1/16/1905,47,17,0,M
1/17/1905,38,26,0.36,5
1/18/1905,50,24,0.22,1
1/19/1905,55,3,0,M
1/20/1905,46,11,0,M
1/21/1905,47,3,0,M
1/22/1905,47,10,0,M
1/23/1905,52,20,0,M
1/24/1905,55,23,0,M
1/25/1905,49,18,0,M
1/26/1905,57,21,0,M
1/27/1905,57,18,0,M
1/28/1905,46,18,0,M
1/29/1905,36,14,0,M
1/30/1905,52,20,0,M
1/31/1905,33,15,0,M
2/1/1905,18,2,0,M
2/2/1905,43,1,0,M
2/3/1905,46,1,0,M
2/4/1905,45,20,0,M
2/5/1905,36,18,0,M
2/6/1905,41,10,0,M
2/7/1905,28,3,0,M
2/8/1905,35,3,0,M
2/9/1905,27,3,0,M
2/10/1905,30,12,T,M
2/11/1905,28,-17,0.34,3.8
2/12/1905,M,-30,0.07,0.3
2/13/1905,46,-26,0,M
2/14/1905,42,-1,0,M
2/15/1905,49,-5,0,M
2/16/1905,47,15,0,M
2/17/1905,38,5,0,M
2/18/1905,49,7,0,M
2/19/1905,58,7,0,M
2/20/1905,61,14,0,M
2/21/1905,59,15,0,M
2/22/1905,58,22,0,M
2/23/1905,56,20,0,M
2/24/1905,51,16,0,M
2/25/1905,55,17,0,M
2/26/1905,54,24,0,M
2/27/1905,50,14,0.06,0.8
2/28/1905,60,21,0,M
3/1/1905,59,30,0,0
3/2/1905,60,28,0,0
3/3/1905,59,28,0,0
3/4/1905,60,24,0,0
3/5/1905,55,30,0,0
3/6/1905,59,29,0.25,0
3/7/1905,51,23,0.15,2
3/8/1905,48,14,0,0
3/9/1905,47,16,0,0
3/10/1905,39,23,T,0
3/11/1905,53,24,0,0
3/12/1905,55,23,T,0
3/13/1905,59,23,0,0
3/14/1905,55,23,0,0
3/15/1905,40,34,0.21,0
3/16/1905,55,30,0.19,T
3/17/1905,47,33,0,0
3/18/1905,42,32,0.68,T
3/19/1905,50,25,T,0
3/20/1905,43,32,0.07,0
3/21/1905,59,23,0,0
3/22/1905,50,31,0,0
3/23/1905,48,20,0,0
3/24/1905,58,29,0,0
3/25/1905,58,32,0,0
3/26/1905,63,30,0,0
3/27/1905,49,26,0,0
3/28/1905,41,17,0.2,2
3/29/1905,53,24,0,0
3/30/1905,53,29,0,0
3/31/1905,53,32,0.14,0
4/1/1905,42,32,1.3,6
4/2/1905,35,27,0.4,1
4/3/1905,39,15,0.16,0
4/4/1905,37,9,0.04,0
4/5/1905,55,19,0,0
4/6/1905,61,25,0,0
4/7/1905,64,27,0,0
4/8/1905,64,28,0,0
4/9/1905,60,31,0,0
4/10/1905,55,28,0.13,0
4/11/1905,45,23,0.15,0
4/12/1905,53,27,0.05,0
4/13/1905,58,30,0,0
4/14/1905,57,35,0,0
4/15/1905,57,27,T,0
4/16/1905,51,30,0.02,0
4/17/1905,52,27,0,0
4/18/1905,64,27,0,0
4/19/1905,56,35,0,0
4/20/1905,46,27,0.06,0
4/21/1905,55,21,0,0
4/22/1905,58,30,0,0
4/23/1905,48,34,0.48,0
4/24/1905,40,29,0.8,5
4/25/1905,56,24,0,0
4/26/1905,65,32,0,0
4/27/1905,65,36,0,0
4/28/1905,64,37,0,0
4/29/1905,68,32,0,0
4/30/1905,70,34,0,0
5/1/1905,66,46,0,M
5/2/1905,58,40,0,M
5/3/1905,52,32,0.34,M
5/4/1905,46,29,0.1,M
5/5/1905,46,27,0.43,M
5/6/1905,58,32,0,M
5/7/1905,66,32,0,M
5/8/1905,68,35,0,M
5/9/1905,65,43,0,M
5/10/1905,53,33,0,M
5/11/1905,57,32,0,M
