Hour,Total Outflow cfs,Generation Flow cfs,Spill cfs,Forebay Elevation,Tailwater Elevation,Average Head,Date
20,1570,1570,0,1200.07,1109.45,90.62,4/8/2022
21,1580,1580,0,1199.39,1109.43,89.96,4/8/2022
22,1570,1570,0,1198.7,1109.43,89.27,4/8/2022
23,1570,1570,0,1198.03,1109.42,88.61,4/8/2022
24,1560,1560,0,1197.35,1109.47,87.88,4/8/2022
,,,,,,,4/8/2022
AVG,1558,1558,0,1196.61,1109.43,87.18,4/8/2022
,,,,,,,4/8/2022
MAX,1600,1600,0,1202.12,1109.51,92.61,4/8/2022
MIN,1510,1510,0,1190.56,1109.36,81.19,4/8/2022
1,1560,1560,0,1196.66,1109.41,87.25,4/9/2022
2,1570,1570,0,1195.97,1109.42,86.55,4/9/2022
3,1560,1560,0,1195.31,1109.43,85.88,4/9/2022
4,1560,1560,0,1194.65,1109.44,85.21,4/9/2022
5,1560,1560,0,1194,1109.44,84.56,4/9/2022
6,1550,1550,0,1193.35,1109.4,83.95,4/9/2022
7,1520,1520,0,1192.76,1109.38,83.38,4/9/2022
8,1520,1520,0,1194.07,1109.42,84.65,4/9/2022
9,1530,1530,0,1195.48,1109.38,86.1,4/9/2022
10,1560,1560,0,1196.85,1109.46,87.39,4/9/2022
11,1570,1570,0,1198.13,1109.44,88.69,4/9/2022
12,1560,1560,0,1199.46,1109.42,90.04,4/9/2022
13,1580,1580,0,1200.7,1109.46,91.24,4/9/2022
14,1590,1590,0,1201.88,1109.49,92.39,4/9/2022
15,1600,1600,0,1203,1109.51,93.49,4/9/2022
16,1580,1580,0,1202.48,1109.45,93.03,4/9/2022
17,1590,1590,0,1201.91,1109.46,92.45,4/9/2022
18,1600,1600,0,1201.35,1109.51,91.84,4/9/2022
19,1590,1590,0,1200.81,1109.45,91.36,4/9/2022
20,1580,1580,0,1200.27,1109.48,90.79,4/9/2022
21,1570,1570,0,1199.75,1109.43,90.32,4/9/2022
22,1560,1560,0,1199.24,1109.41,89.83,4/9/2022
23,1570,1570,0,1198.73,1109.47,89.26,4/9/2022
24,1560,1560,0,1198.25,1109.48,88.77,4/9/2022
,,,,,,,4/9/2022
AVG,1566,1566,0,1198.13,1109.44,88.68,4/9/2022
,,,,,,,4/9/2022
MAX,1600,1600,0,1203,1109.51,93.49,4/9/2022
MIN,1520,1520,0,1192.76,1109.38,83.38,4/9/2022
1,1570,1570,0,1197.76,1109.44,88.32,4/10/2022
2,1570,1570,0,1197.31,1109.43,87.88,4/10/2022
3,1560,1560,0,1196.78,1109.46,87.32,4/10/2022
4,1560,1560,0,1196.33,1109.46,86.87,4/10/2022
5,1550,1550,0,1195.93,1109.37,86.56,4/10/2022
6,1560,1560,0,1195.49,1109.41,86.08,4/10/2022
7,1530,1530,0,1195.09,1109.4,85.69,4/10/2022
8,1530,1530,0,1196.52,1109.42,87.1,4/10/2022
9,1550,1550,0,1198.04,1109.41,88.63,4/10/2022
10,1570,1570,0,1199.46,1109.41,90.05,4/10/2022
11,1570,1570,0,1200.91,1109.47,91.44,4/10/2022
12,1580,1580,0,1202.2,1109.53,92.67,4/10/2022
13,1580,1580,0,1201.86,1109.47,92.39,4/10/2022
14,1580,1580,0,1201.48,1109.45,92.03,4/10/2022
15,1580,1580,0,1201.08,1109.51,91.57,4/10/2022
16,1570,1570,0,1200.71,1109.44,91.27,4/10/2022
17,1600,1600,0,1200.34,1109.42,90.92,4/10/2022
18,1600,1600,0,1199.99,1109.47,90.52,4/10/2022
19,1580,1580,0,1199.63,1109.44,90.19,4/10/2022
20,1590,1590,0,1199.3,1109.48,89.82,4/10/2022
21,1560,1560,0,1198.99,1109.47,89.52,4/10/2022
22,1560,1560,0,1198.67,1109.48,89.19,4/10/2022
23,1560,1560,0,1198.37,1109.43,88.94,4/10/2022
24,1570,1570,0,1198.09,1109.41,88.68,4/10/2022
,,,,,,,4/10/2022
AVG,1568,1568,0,1198.76,1109.44,89.32,4/10/2022
,,,,,,,4/10/2022
MAX,1600,1600,0,1202.2,1109.53,92.67,4/10/2022
MIN,1530,1530,0,1195.09,1109.37,85.69,4/10/2022
1,1560,1560,0,1197.82,1109.42,88.4,4/11/2022
2,1570,1570,0,1197.58,1109.44,88.14,4/11/2022
3,1570,1570,0,1197.33,1109.43,87.9,4/11/2022
4,1560,1560,0,1197.1,1109.4,87.7,4/11/2022
5,1580,1580,0,1196.88,1109.47,87.41,4/11/2022
6,1590,1590,0,1196.67,1109.45,87.22,4/11/2022
7,1570,1570,0,1196.51,1109.43,87.08,4/11/2022
8,1560,1560,0,1198.14,1109.42,88.72,4/11/2022
9,1570,1570,0,1199.82,1109.44,90.38,4/11/2022
10,1600,1600,0,1201.42,1109.49,91.93,4/11/2022
11,1590,1590,0,1202.9,1109.47,93.43,4/11/2022
12,1580,1580,0,1202.75,1109.44,93.31,4/11/2022
13,1590,1590,0,1202.54,1109.48,93.06,4/11/2022
14,1600,1600,0,1202.36,1109.49,92.87,4/11/2022
15,1590,1590,0,1202.19,1109.49,92.7,4/11/2022
16,1600,1600,0,1202.02,1109.46,92.56,4/11/2022
17,1600,1600,0,1201.86,1109.46,92.4,4/11/2022
18,1600,1600,0,1201.71,1109.49,92.22,4/11/2022
19,1590,1590,0,1201.57,1109.44,92.13,4/11/2022
20,1570,1570,0,1201.46,1109.44,92.02,4/11/2022
21,1570,1570,0,1201.34,1109.4,91.94,4/11/2022
22,1560,1560,0,1201.23,1109.41,91.82,4/11/2022
23,1560,1560,0,1201.14,1109.42,91.72,4/11/2022
24,1560,1560,0,1201.06,1109.42,91.64,4/11/2022
,,,,,,,4/11/2022
AVG,1579,1579,0,1200.22,1109.45,90.78,4/11/2022
,,,,,,,4/11/2022
MAX,1600,1600,0,1202.9,1109.49,93.43,4/11/2022
MIN,1560,1560,0,1196.51,1109.4,87.08,4/11/2022
1,1560,1560,0,1200.98,1109.42,91.56,4/12/2022
2,1580,1580,0,1200.64,1109.43,91.21,4/12/2022
3,1570,1570,0,1200.22,1109.42,90.8,4/12/2022
4,1570,1570,0,1199.77,1109.39,90.38,4/12/2022
5,1570,1570,0,1199.33,1109.41,89.92,4/12/2022
6,1560,1560,0,1198.88,1109.41,89.47,4/12/2022
7,1560,1560,0,1198.45,1109.39,89.06,4/12/2022
8,1530,1530,0,1199.63,1109.41,90.22,4/12/2022
9,1550,1550,0,1200.99,1109.44,91.55,4/12/2022
10,1570,1570,0,1202.29,1109.44,92.85,4/12/2022
11,1570,1570,0,1203.5,1109.44,94.06,4/12/2022
12,1580,1580,0,1203.15,1109.47,93.68,4/12/2022
13,1570,1570,0,1202.71,1109.42,93.29,4/12/2022
14,1580,1580,0,1202.3,1109.43,92.87,4/12/2022
15,1580,1580,0,1201.88,1109.45,92.43,4/12/2022
16,1560,1560,0,1201.52,1109.41,92.11,4/12/2022
17,1570,1570,0,1201.17,1109.4,91.77,4/12/2022
18,1580,1580,0,1200.77,1109.46,91.31,4/12/2022
19,1580,1580,0,1200.35,1109.44,90.91,4/12/2022
20,1570,1570,0,1199.93,1109.4,90.53,4/12/2022
21,1560,1560,0,1199.51,1109.47,90.04,4/12/2022
22,1560,1560,0,1199.07,1109.43,89.64,4/12/2022
23,1560,1560,0,1198.65,1109.4,89.25,4/12/2022
24,1560,1560,0,1198.24,1109.41,88.83,4/12/2022
,,,,,,,4/12/2022
AVG,1567,1567,0,1200.58,1109.42,91.16,4/12/2022
,,,,,,,4/12/2022
MAX,1580,1580,0,1203.5,1109.47,94.06,4/12/2022
MIN,1530,1530,0,1198.24,1109.39,88.83,4/12/2022
1,1550,1550,0,1197.8,1109.42,88.38,4/13/2022
2,1550,1550,0,1197.38,1109.44,87.94,4/13/2022
3,1560,1560,0,1196.94,1109.39,87.55,4/13/2022
4,1560,1560,0,1196.51,1109.39,87.12,4/13/2022
5,1560,1560,0,1196.07,1109.37,86.7,4/13/2022
6,1560,1560,0,1195.63,1109.37,86.26,4/13/2022
7,1520,1520,0,1195.23,1109.35,85.88,4/13/2022
8,1520,1520,0,1196.51,1109.37,87.14,4/13/2022
9,1550,1550,0,1198.01,1109.39,88.62,4/13/2022
10,1560,1560,0,1199.46,1109.42,90.04,4/13/2022
11,1560,1560,0,1200.8,1109.42,91.38,4/13/2022
12,1560,1560,0,1202.05,1109.41,92.64,4/13/2022
13,1570,1570,0,1203.23,1109.46,93.77,4/13/2022
14,1570,1570,0,1202.87,1109.45,93.42,4/13/2022
15,1580,1580,0,1202.48,1109.47,93.01,4/13/2022
16,1580,1580,0,1202.13,1109.42,92.71,4/13/2022
17,1600,1600,0,1201.76,1109.49,92.27,4/13/2022
18,1610,1610,0,1201.35,1109.5,91.85,4/13/2022
19,1600,1600,0,1200.96,1109.47,91.49,4/13/2022
20,1580,1580,0,1200.55,1109.44,91.11,4/13/2022
21,1570,1570,0,1200.15,1109.45,90.7,4/13/2022
22,1570,1570,0,1199.76,1109.45,90.31,4/13/2022
23,1560,1560,0,1199.36,1109.41,89.95,4/13/2022
24,1560,1560,0,1198.96,1109.4,89.56,4/13/2022
,,,,,,,4/13/2022
AVG,1565,1565,0,1199.41,1109.42,89.99,4/13/2022
,,,,,,,4/13/2022
MAX,1610,1610,0,1203.23,1109.5,93.77,4/13/2022
MIN,1520,1520,0,1195.23,1109.35,85.88,4/13/2022
1,1570,1570,0,1198.55,1109.42,89.13,4/14/2022
2,1560,1560,0,1198.16,1109.42,88.74,4/14/2022
3,1560,1560,0,1197.76,1109.44,88.32,4/14/2022
4,1570,1570,0,1197.33,1109.43,87.9,4/14/2022
5,1560,1560,0,1196.92,1109.38,87.54,4/14/2022
6,1560,1560,0,1196.5,1109.39,87.11,4/14/2022
7,1530,1530,0,1196.13,1109.39,86.74,4/14/2022
8,1530,1530,0,1197.43,1109.37,88.06,4/14/2022
9,1550,1550,0,1198.87,1109.43,89.44,4/14/2022
10,1570,1570,0,1200.22,1109.44,90.78,4/14/2022
11,1550,1550,0,1200.97,1109.37,91.6,4/14/2022
12,1560,1560,0,1201.68,1109.43,92.25,4/14/2022
13,1580,1580,0,1202.39,1109.46,92.93,4/14/2022
14,1580,1580,0,1203.05,1109.49,93.56,4/14/2022
15,1590,1590,0,1202.16,1109.51,92.65,4/14/2022
16,1600,1600,0,1201.2,1109.45,91.75,4/14/2022
17,1580,1580,0,1200.72,1109.47,91.25,4/14/2022
18,1580,1580,0,1200.32,1109.47,90.85,4/14/2022
19,1580,1580,0,1199.95,1109.44,90.51,4/14/2022
20,1570,1570,0,1199.54,1109.44,90.1,4/14/2022
21,1570,1570,0,1199.14,1109.45,89.69,4/14/2022
22,1560,1560,0,1198.76,1109.4,89.36,4/14/2022
23,1560,1560,0,1198.38,1109.39,88.99,4/14/2022
24,1550,1550,0,1197.99,1109.39,88.6,4/14/2022
,,,,,,,4/14/2022
AVG,1565,1565,0,1199.34,1109.43,89.91,4/14/2022
,,,,,,,4/14/2022
MAX,1600,1600,0,1203.05,1109.51,93.56,4/14/2022
MIN,1530,1530,0,1196.13,1109.37,86.74,4/14/2022
1,1550,1550,0,1197.6,1109.4,88.2,4/15/2022
2,1550,1550,0,1197.22,1109.43,87.79,4/15/2022
3,1560,1560,0,1196.8,1109.4,87.4,4/15/2022
4,1560,1560,0,1196.41,1109.44,86.97,4/15/2022
5,1550,1550,0,1196,1109.36,86.64,4/15/2022
6,1560,1560,0,1195.59,1109.38,86.21,4/15/2022
7,1520,1520,0,1194.66,1109.38,85.28,4/15/2022
8,1520,1520,0,1195.34,1109.4,85.94,4/15/2022
9,1530,1530,0,1196.19,1109.37,86.82,4/15/2022
10,1530,1530,0,1197.03,1109.39,87.64,4/15/2022
11,1550,1550,0,1197.87,1109.38,88.49,4/15/2022
12,1550,1550,0,1198.69,1109.41,89.28,4/15/2022
13,1560,1560,0,1199.49,1109.42,90.07,4/15/2022
14,1560,1560,0,1200.27,1109.41,90.86,4/15/2022
15,1580,1580,0,1201.01,1109.43,91.58,4/15/2022
16,1580,1580,0,1201.78,1109.48,92.3,4/15/2022
17,1570,1570,0,1202.47,1109.42,93.05,4/15/2022
18,1600,1600,0,1201.56,1109.46,92.1,4/15/2022
19,1600,1600,0,1200.62,1109.49,91.13,4/15/2022
20,1570,1570,0,1200.23,1109.44,90.79,4/15/2022
21,1570,1570,0,1199.87,1109.4,90.47,4/15/2022
22,1570,1570,0,1199.5,1109.45,90.05,4/15/2022
23,1560,1560,0,1199.13,1109.45,89.68,4/15/2022
24,1570,1570,0,1198.75,1109.43,89.32,4/15/2022
,,,,,,,4/15/2022
AVG,1559,1559,0,1198.5,1109.42,89.09,4/15/2022
,,,,,,,4/15/2022
MAX,1600,1600,0,1202.47,1109.49,93.05,4/15/2022
MIN,1520,1520,0,1194.66,1109.36,85.28,4/15/2022
1,1560,1560,0,1198.37,1109.39,88.98,4/16/2022
2,1550,1550,0,1198,1109.41,88.59,4/16/2022
3,1560,1560,0,1197.61,1109.41,88.2,4/16/2022
4,1550,1550,0,1197.25,1109.36,87.89,4/16/2022
5,1560,1560,0,1196.87,1109.39,87.48,4/16/2022
6,1550,1550,0,1196.48,1109.38,87.1,4/16/2022
7,1550,1550,0,1195.6,1109.37,86.23,4/16/2022
8,1520,1520,0,1196.31,1109.37,86.94,4/16/2022
9,1560,1560,0,1197.17,1109.37,87.8,4/16/2022
10,1550,1550,0,1197.96,1109.41,88.55,4/16/2022
11,1530,1530,0,1198.81,1109.4,89.41,4/16/2022
12,1570,1570,0,1199.63,1109.41,90.22,4/16/2022
13,1560,1560,0,1200.41,1109.43,90.98,4/16/2022
14,1560,1560,0,1201.16,1109.41,91.75,4/16/2022
15,1580,1580,0,1201.87,1109.49,92.38,4/16/2022
16,1580,1580,0,1200.97,1109.45,91.52,4/16/2022
17,1570,1570,0,1200.06,1109.42,90.64,4/16/2022
18,1580,1580,0,1199.12,1109.44,89.68,4/16/2022
19,1580,1580,0,1198.12,1109.45,88.67,4/16/2022
20,1560,1560,0,1197.67,1109.46,88.21,4/16/2022
21,1550,1550,0,1197.32,1109.4,87.92,4/16/2022
22,1550,1550,0,1196.94,1109.42,87.52,4/16/2022
23,1530,1530,0,1196.57,1109.37,87.2,4/16/2022
24,1520,1520,0,1196.21,1109.41,86.8,4/16/2022
,,,,,,,4/16/2022
AVG,1555,1555,0,1198.19,1109.41,88.78,4/16/2022
,,,,,,,4/16/2022
MAX,1580,1580,0,1201.87,1109.49,92.38,4/16/2022
MIN,1520,1520,0,1195.6,1109.36,86.23,4/16/2022
1,1560,1560,0,1195.83,1109.47,86.36,4/17/2022
2,1550,1550,0,1195.45,1109.38,86.07,4/17/2022
3,1530,1530,0,1195.07,1109.39,85.68,4/17/2022
4,1560,1560,0,1194.68,1109.39,85.29,4/17/2022
5,1550,1550,0,1194.29,1109.41,84.88,4/17/2022
6,1550,1550,0,1193.91,1109.36,84.55,4/17/2022
7,1520,1520,0,1193.56,1109.4,84.16,4/17/2022
8,1510,1510,0,1194.35,1109.32,85.03,4/17/2022
9,1520,1520,0,1195.32,1109.36,85.96,4/17/2022
10,1520,1520,0,1196.22,1109.35,86.87,4/17/2022
11,1530,1530,0,1197.06,1109.4,87.66,4/17/2022
12,1560,1560,0,1197.88,1109.43,88.45,4/17/2022
13,1570,1570,0,1198.69,1109.42,89.27,4/17/2022
14,1560,1560,0,1199.48,1109.45,90.03,4/17/2022
15,1560,1560,0,1200.24,1109.48,90.76,4/17/2022
16,1560,1560,0,1200.99,1109.42,91.57,4/17/2022
17,1570,1570,0,1201.7,1109.46,92.24,4/17/2022
18,1590,1590,0,1200.77,1109.47,91.3,4/17/2022
19,1580,1580,0,1199.81,1109.44,90.37,4/17/2022
20,1570,1570,0,1199.45,1109.44,90.01,4/17/2022
21,1560,1560,0,1199.09,1109.41,89.68,4/17/2022
22,1560,1560,0,1198.72,1109.43,89.29,4/17/2022
23,1560,1560,0,1198.35,1109.45,88.9,4/17/2022
24,1560,1560,0,1197.99,1109.47,88.52,4/17/2022
,,,,,,,4/17/2022
AVG,1552,1552,0,1197.45,1109.42,88.04,4/17/2022
,,,,,,,4/17/2022
MAX,1590,1590,0,1201.7,1109.48,92.24,4/17/2022
MIN,1510,1510,0,1193.56,1109.32,84.16,4/17/2022
1,1560,1560,0,1197.61,1109.42,88.19,4/18/2022
2,1570,1570,0,1197.24,1109.4,87.84,4/18/2022
3,1570,1570,0,1196.87,1109.4,87.47,4/18/2022
4,1560,1560,0,1196.49,1109.42,87.07,4/18/2022
5,1550,1550,0,1196.11,1109.42,86.69,4/18/2022
6,1560,1560,0,1195.74,1109.39,86.35,4/18/2022
7,1530,1530,0,1194.86,1109.36,85.5,4/18/2022
8,1520,1520,0,1195.55,1109.35,86.2,4/18/2022
9,1530,1530,0,1196.4,1109.4,87,4/18/2022
10,1560,1560,0,1197.23,1109.44,87.79,4/18/2022
11,1550,1550,0,1198.05,1109.4,88.65,4/18/2022
12,1560,1560,0,1198.85,1109.41,89.44,4/18/2022
13,1580,1580,0,1199.63,1109.46,90.17,4/18/2022
14,1580,1580,0,1200.41,1109.48,90.93,4/18/2022
15,1590,1590,0,1201.11,1109.5,91.61,4/18/2022
16,1600,1600,0,1201.86,1109.45,92.41,4/18/2022
17,1580,1580,0,1200.98,1109.48,91.5,4/18/2022
18,1590,1590,0,1200.05,1109.48,90.57,4/18/2022
19,1580,1580,0,1199.18,1109.4,89.78,4/18/2022
20,1560,1560,0,1198.72,1109.42,89.3,4/18/2022
21,1560,1560,0,1198.44,1109.38,89.06,4/18/2022
22,1560,1560,0,1198.16,1109.44,88.72,4/18/2022
23,1560,1560,0,1197.87,1109.41,88.46,4/18/2022
24,1560,1560,0,1197.59,1109.4,88.19,4/18/2022
,,,,,,,4/18/2022
AVG,1563,1563,0,1198.12,1109.42,88.7,4/18/2022
,,,,,,,4/18/2022
MAX,1600,1600,0,1201.86,1109.5,92.41,4/18/2022
MIN,1520,1520,0,1194.86,1109.35,85.5,4/18/2022
1,1550,1550,0,1197.31,1109.45,87.86,4/19/2022
2,1570,1570,0,1197.02,1109.43,87.59,4/19/2022
3,1560,1560,0,1196.73,1109.41,87.32,4/19/2022
4,1570,1570,0,1196.44,1109.41,87.03,4/19/2022
5,1570,1570,0,1196.13,1109.44,86.69,4/19/2022
6,1560,1560,0,1195.83,1109.39,86.44,4/19/2022
7,1550,1550,0,1195.57,1109.43,86.14,4/19/2022
8,1530,1530,0,1196.29,1109.39,86.9,4/19/2022
9,1560,1560,0,1197.14,1109.38,87.76,4/19/2022
10,1550,1550,0,1197.97,1109.4,88.57,4/19/2022
11,1560,1560,0,1198.86,1109.41,89.45,4/19/2022
12,1580,1580,0,1199.63,1109.43,90.2,4/19/2022
13,1580,1580,0,1200.41,1109.43,90.98,4/19/2022
14,1590,1590,0,1201.14,1109.48,91.66,4/19/2022
15,1590,1590,0,1201.93,1109.49,92.44,4/19/2022
16,1590,1590,0,1202.59,1109.5,93.09,4/19/2022
17,1600,1600,0,1201.72,1109.5,92.22,4/19/2022
18,1590,1590,0,1200.81,1109.48,91.33,4/19/2022
19,1600,1600,0,1199.95,1109.44,90.51,4/19/2022
20,1590,1590,0,1199.63,1109.44,90.19,4/19/2022
21,1570,1570,0,1199.35,1109.43,89.92,4/19/2022
22,1580,1580,0,1199.07,1109.49,89.58,4/19/2022
23,1550,1550,0,1198.8,1109.44,89.36,4/19/2022
24,1560,1560,0,1198.54,1109.44,89.1,4/19/2022
,,,,,,,4/19/2022
AVG,1571,1571,0,1198.7,1109.44,89.26,4/19/2022
,,,,,,,4/19/2022
MAX,1600,1600,0,1202.59,1109.5,93.09,4/19/2022
MIN,1530,1530,0,1195.57,1109.38,86.14,4/19/2022
1,1570,1570,0,1198.27,1109.41,88.86,4/20/2022
2,1580,1580,0,1197.97,1109.46,88.51,4/20/2022
3,1570,1570,0,1197.69,1109.44,88.25,4/20/2022
4,1570,1570,0,1197.41,1109.44,87.97,4/20/2022
5,1590,1590,0,1197.13,1109.45,87.68,4/20/2022
6,1570,1570,0,1196.85,1109.38,87.47,4/20/2022
7,1550,1550,0,1196.07,1109.4,86.67,4/20/2022
8,1530,1530,0,1196.77,1109.36,87.41,4/20/2022
9,1560,1560,0,1197.6,1109.38,88.22,4/20/2022
10,1570,1570,0,1198.41,1109.43,88.98,4/20/2022
11,1580,1580,0,1199.22,1109.47,89.75,4/20/2022
12,1580,1580,0,1200.01,1109.47,90.54,4/20/2022
13,1580,1580,0,1200.77,1109.45,91.32,4/20/2022
14,1580,1580,0,1201.51,1109.48,92.03,4/20/2022
15,1600,1600,0,1202.21,1109.48,92.73,4/20/2022
16,1590,1590,0,1201.36,1109.49,91.87,4/20/2022
17,1600,1600,0,1200.57,1109.43,91.14,4/20/2022
18,1600,1600,0,1199.71,1109.48,90.23,4/20/2022
19,1590,1590,0,1198.81,1109.47,89.34,4/20/2022
20,1560,1560,0,1198.57,1109.44,89.13,4/20/2022
21,1580,1580,0,1198.37,1109.4,88.97,4/20/2022
22,1570,1570,0,1198.18,1109.45,88.73,4/20/2022
23,1560,1560,0,1197.96,1109.39,88.57,4/20/2022
24,1570,1570,0,1197.76,1109.46,88.3,4/20/2022
,,,,,,,4/20/2022
AVG,1575,1575,0,1198.72,1109.44,89.28,4/20/2022
,,,,,,,4/20/2022
MAX,1600,1600,0,1202.21,1109.49,92.73,4/20/2022
MIN,1530,1530,0,1196.07,1109.36,86.67,4/20/2022
1,1570,1570,0,1197.56,1109.43,88.13,4/21/2022
2,1560,1560,0,1197.36,1109.4,87.96,4/21/2022
3,1570,1570,0,1197.17,1109.45,87.72,4/21/2022
4,1570,1570,0,1196.97,1109.43,87.54,4/21/2022
5,1580,1580,0,1196.77,1109.42,87.35,4/21/2022
6,1560,1560,0,1196.56,1109.36,87.2,4/21/2022
7,1560,1560,0,1195.84,1109.36,86.48,4/21/2022
8,1530,1530,0,1196.61,1109.37,87.24,4/21/2022
9,1560,1560,0,1197.48,1109.4,88.08,4/21/2022
10,1560,1560,0,1198.35,1109.42,88.93,4/21/2022
11,1560,1560,0,1199.19,1109.42,89.77,4/21/2022
12,1570,1570,0,1200.01,1109.44,90.57,4/21/2022
13,1580,1580,0,1200.81,1109.47,91.34,4/21/2022
14,1600,1600,0,1201.58,1109.43,92.15,4/21/2022
15,1600,1600,0,1202.31,1109.47,92.84,4/21/2022
16,1600,1600,0,1201.45,1109.44,92.01,4/21/2022
17,1610,1610,0,1200.62,1109.46,91.16,4/21/2022
18,1600,1600,0,1199.79,1109.44,90.35,4/21/2022
19,1590,1590,0,1198.87,1109.42,89.45,4/21/2022
20,1560,1560,0,1198.68,1109.38,89.3,4/21/2022
21,1560,1560,0,1198.52,1109.43,89.09,4/21/2022
22,1560,1560,0,1198.36,1109.43,88.93,4/21/2022
23,1570,1570,0,1198.18,1109.45,88.73,4/21/2022
24,1570,1570,0,1198,1109.41,88.59,4/21/2022
,,,,,,,4/21/2022
AVG,1573,1573,0,1198.63,1109.42,89.2,4/21/2022
,,,,,,,4/21/2022
MAX,1610,1610,0,1202.31,1109.47,92.84,4/21/2022
MIN,1530,1530,0,1195.84,1109.36,86.48,4/21/2022
1,1560,1560,0,1197.81,1109.44,88.37,4/22/2022
2,1560,1560,0,1197.65,1109.42,88.23,4/22/2022
3,1580,1580,0,1197.47,1109.38,88.09,4/22/2022
4,1560,1560,0,1197.31,1109.37,87.94,4/22/2022
5,1580,1580,0,1197.01,1109.38,87.63,4/22/2022
6,1560,1560,0,1196.11,1109.39,86.72,4/22/2022
7,1560,1560,0,1195.16,1109.38,85.78,4/22/2022
8,1560,1560,0,1195.94,1109.4,86.54,4/22/2022
9,1530,1530,0,1196.93,1109.42,87.51,4/22/2022
10,1560,1560,0,1197.87,1109.43,88.44,4/22/2022
11,1570,1570,0,1198.76,1109.46,89.3,4/22/2022
12,1580,1580,0,1199.67,1109.47,90.2,4/22/2022
13,1560,1560,0,1198.85,1109.43,89.42,4/22/2022
14,1560,1560,0,1198,1109.38,88.62,4/22/2022
15,1580,1580,0,1198.79,1109.41,89.38,4/22/2022
16,1570,1570,0,1199.7,1109.44,90.26,4/22/2022
17,1580,1580,0,1200.53,1109.46,91.07,4/22/2022
18,1600,1600,0,1199.73,1109.43,90.3,4/22/2022
19,1600,1600,0,1198.81,1109.47,89.34,4/22/2022
20,1570,1570,0,1197.93,1109.41,88.52,4/22/2022
21,1570,1570,0,1197.69,1109.41,88.28,4/22/2022
22,1560,1560,0,1197.54,1109.38,88.16,4/22/2022
23,1550,1550,0,1197.41,1109.44,87.97,4/22/2022
24,1560,1560,0,1197.27,1109.42,87.85,4/22/2022
,,,,,,,4/22/2022
AVG,1568,1568,0,1197.91,1109.42,88.5,4/22/2022
,,,,,,,4/22/2022
