datetime,Hour,Total Outflow cfs,Generation Flow cfs,Spill cfs,Forebay Elevation,Tailwater Elevation,Average Head,Date
2022-04-10 16:00:00,16,1570.0,1570.0,0.0,1200.71,1109.44,91.27,4/10/2022
2022-04-10 17:00:00,17,1600.0,1600.0,0.0,1200.34,1109.42,90.92,4/10/2022
2022-04-10 18:00:00,18,1600.0,1600.0,0.0,1199.99,1109.47,90.52,4/10/2022
2022-04-10 19:00:00,19,1580.0,1580.0,0.0,1199.63,1109.44,90.19,4/10/2022
2022-04-10 20:00:00,20,1590.0,1590.0,0.0,1199.3,1109.48,89.82,4/10/2022
2022-04-10 21:00:00,21,1560.0,1560.0,0.0,1198.99,1109.47,89.52,4/10/2022
2022-04-10 22:00:00,22,1560.0,1560.0,0.0,1198.67,1109.48,89.19,4/10/2022
2022-04-10 23:00:00,23,1560.0,1560.0,0.0,1198.37,1109.43,88.94,4/10/2022
2022-04-10 23:59:59,24,1570.0,1570.0,0.0,1198.09,1109.41,88.68,4/10/2022
2022-04-11 01:00:00,1,1560.0,1560.0,0.0,1197.82,1109.42,88.4,4/11/2022
2022-04-11 02:00:00,2,1570.0,1570.0,0.0,1197.58,1109.44,88.14,4/11/2022
2022-04-11 03:00:00,3,1570.0,1570.0,0.0,1197.33,1109.43,87.9,4/11/2022
2022-04-11 04:00:00,4,1560.0,1560.0,0.0,1197.1,1109.4,87.7,4/11/2022
2022-04-11 05:00:00,5,1580.0,1580.0,0.0,1196.88,1109.47,87.41,4/11/2022
2022-04-11 06:00:00,6,1590.0,1590.0,0.0,1196.67,1109.45,87.22,4/11/2022
2022-04-11 07:00:00,7,1570.0,1570.0,0.0,1196.51,1109.43,87.08,4/11/2022
2022-04-11 08:00:00,8,1560.0,1560.0,0.0,1198.14,1109.42,88.72,4/11/2022
2022-04-11 09:00:00,9,1570.0,1570.0,0.0,1199.82,1109.44,90.38,4/11/2022
2022-04-11 10:00:00,10,1600.0,1600.0,0.0,1201.42,1109.49,91.93,4/11/2022
2022-04-11 11:00:00,11,1590.0,1590.0,0.0,1202.9,1109.47,93.43,4/11/2022
2022-04-11 12:00:00,12,1580.0,1580.0,0.0,1202.75,1109.44,93.31,4/11/2022
2022-04-11 13:00:00,13,1590.0,1590.0,0.0,1202.54,1109.48,93.06,4/11/2022
2022-04-11 14:00:00,14,1600.0,1600.0,0.0,1202.36,1109.49,92.87,4/11/2022
2022-04-11 15:00:00,15,1590.0,1590.0,0.0,1202.19,1109.49,92.7,4/11/2022
2022-04-11 16:00:00,16,1600.0,1600.0,0.0,1202.02,1109.46,92.56,4/11/2022
2022-04-11 17:00:00,17,1600.0,1600.0,0.0,1201.86,1109.46,92.4,4/11/2022
2022-04-11 18:00:00,18,1600.0,1600.0,0.0,1201.71,1109.49,92.22,4/11/2022
2022-04-11 19:00:00,19,1590.0,1590.0,0.0,1201.57,1109.44,92.13,4/11/2022
2022-04-11 20:00:00,20,1570.0,1570.0,0.0,1201.46,1109.44,92.02,4/11/2022
2022-04-11 21:00:00,21,1570.0,1570.0,0.0,1201.34,1109.4,91.94,4/11/2022
2022-04-11 22:00:00,22,1560.0,1560.0,0.0,1201.23,1109.41,91.82,4/11/2022
2022-04-11 23:00:00,23,1560.0,1560.0,0.0,1201.14,1109.42,91.72,4/11/2022
2022-04-11 23:59:59,24,1560.0,1560.0,0.0,1201.06,1109.42,91.64,4/11/2022
2022-04-12 01:00:00,1,1560.0,1560.0,0.0,1200.98,1109.42,91.56,4/12/2022
2022-04-12 02:00:00,2,1580.0,1580.0,0.0,1200.64,1109.43,91.21,4/12/2022
2022-04-12 03:00:00,3,1570.0,1570.0,0.0,1200.22,1109.42,90.8,4/12/2022
2022-04-12 04:00:00,4,1570.0,1570.0,0.0,1199.77,1109.39,90.38,4/12/2022
2022-04-12 05:00:00,5,1570.0,1570.0,0.0,1199.33,1109.41,89.92,4/12/2022
2022-04-12 06:00:00,6,1560.0,1560.0,0.0,1198.88,1109.41,89.47,4/12/2022
2022-04-12 07:00:00,7,1560.0,1560.0,0.0,1198.45,1109.39,89.06,4/12/2022
2022-04-12 08:00:00,8,1530.0,1530.0,0.0,1199.63,1109.41,90.22,4/12/2022
2022-04-12 09:00:00,9,1550.0,1550.0,0.0,1200.99,1109.44,91.55,4/12/2022
2022-04-12 10:00:00,10,1570.0,1570.0,0.0,1202.29,1109.44,92.85,4/12/2022
2022-04-12 11:00:00,11,1570.0,1570.0,0.0,1203.5,1109.44,94.06,4/12/2022
2022-04-12 12:00:00,12,1580.0,1580.0,0.0,1203.15,1109.47,93.68,4/12/2022
2022-04-12 13:00:00,13,1570.0,1570.0,0.0,1202.71,1109.42,93.29,4/12/2022
2022-04-12 14:00:00,14,1580.0,1580.0,0.0,1202.3,1109.43,92.87,4/12/2022
2022-04-12 15:00:00,15,1580.0,1580.0,0.0,1201.88,1109.45,92.43,4/12/2022
2022-04-12 16:00:00,16,1560.0,1560.0,0.0,1201.52,1109.41,92.11,4/12/2022
2022-04-12 17:00:00,17,1570.0,1570.0,0.0,1201.17,1109.4,91.77,4/12/2022
2022-04-12 18:00:00,18,1580.0,1580.0,0.0,1200.77,1109.46,91.31,4/12/2022
2022-04-12 19:00:00,19,1580.0,1580.0,0.0,1200.35,1109.44,90.91,4/12/2022
2022-04-12 20:00:00,20,1570.0,1570.0,0.0,1199.93,1109.4,90.53,4/12/2022
2022-04-12 21:00:00,21,1560.0,1560.0,0.0,1199.51,1109.47,90.04,4/12/2022
2022-04-12 22:00:00,22,1560.0,1560.0,0.0,1199.07,1109.43,89.64,4/12/2022
2022-04-12 23:00:00,23,1560.0,1560.0,0.0,1198.65,1109.4,89.25,4/12/2022
2022-04-12 23:59:59,24,1560.0,1560.0,0.0,1198.24,1109.41,88.83,4/12/2022
2022-04-13 01:00:00,1,1550.0,1550.0,0.0,1197.8,1109.42,88.38,4/13/2022
2022-04-13 02:00:00,2,1550.0,1550.0,0.0,1197.38,1109.44,87.94,4/13/2022
2022-04-13 03:00:00,3,1560.0,1560.0,0.0,1196.94,1109.39,87.55,4/13/2022
2022-04-13 04:00:00,4,1560.0,1560.0,0.0,1196.51,1109.39,87.12,4/13/2022
2022-04-13 05:00:00,5,1560.0,1560.0,0.0,1196.07,1109.37,86.7,4/13/2022
2022-04-13 06:00:00,6,1560.0,1560.0,0.0,1195.63,1109.37,86.26,4/13/2022
2022-04-13 07:00:00,7,1520.0,1520.0,0.0,1195.23,1109.35,85.88,4/13/2022
2022-04-13 08:00:00,8,1520.0,1520.0,0.0,1196.51,1109.37,87.14,4/13/2022
2022-04-13 09:00:00,9,1550.0,1550.0,0.0,1198.01,1109.39,88.62,4/13/2022
2022-04-13 10:00:00,10,1560.0,1560.0,0.0,1199.46,1109.42,90.04,4/13/2022
2022-04-13 11:00:00,11,1560.0,1560.0,0.0,1200.8,1109.42,91.38,4/13/2022
2022-04-13 12:00:00,12,1560.0,1560.0,0.0,1202.05,1109.41,92.64,4/13/2022
2022-04-13 13:00:00,13,1570.0,1570.0,0.0,1203.23,1109.46,93.77,4/13/2022
2022-04-13 14:00:00,14,1570.0,1570.0,0.0,1202.87,1109.45,93.42,4/13/2022
2022-04-13 15:00:00,15,1580.0,1580.0,0.0,1202.48,1109.47,93.01,4/13/2022
2022-04-13 16:00:00,16,1580.0,1580.0,0.0,1202.13,1109.42,92.71,4/13/2022
2022-04-13 17:00:00,17,1600.0,1600.0,0.0,1201.76,1109.49,92.27,4/13/2022
2022-04-13 18:00:00,18,1610.0,1610.0,0.0,1201.35,1109.5,91.85,4/13/2022
2022-04-13 19:00:00,19,1600.0,1600.0,0.0,1200.96,1109.47,91.49,4/13/2022
2022-04-13 20:00:00,20,1580.0,1580.0,0.0,1200.55,1109.44,91.11,4/13/2022
2022-04-13 21:00:00,21,1570.0,1570.0,0.0,1200.15,1109.45,90.7,4/13/2022
2022-04-13 22:00:00,22,1570.0,1570.0,0.0,1199.76,1109.45,90.31,4/13/2022
2022-04-13 23:00:00,23,1560.0,1560.0,0.0,1199.36,1109.41,89.95,4/13/2022
2022-04-13 23:59:59,24,1560.0,1560.0,0.0,1198.96,1109.4,89.56,4/13/2022
2022-04-14 01:00:00,1,1570.0,1570.0,0.0,1198.55,1109.42,89.13,4/14/2022
2022-04-14 02:00:00,2,1560.0,1560.0,0.0,1198.16,1109.42,88.74,4/14/2022
2022-04-14 03:00:00,3,1560.0,1560.0,0.0,1197.76,1109.44,88.32,4/14/2022
2022-04-14 04:00:00,4,1570.0,1570.0,0.0,1197.33,1109.43,87.9,4/14/2022
2022-04-14 05:00:00,5,1560.0,1560.0,0.0,1196.92,1109.38,87.54,4/14/2022
2022-04-14 06:00:00,6,1560.0,1560.0,0.0,1196.5,1109.39,87.11,4/14/2022
2022-04-14 07:00:00,7,1530.0,1530.0,0.0,1196.13,1109.39,86.74,4/14/2022
2022-04-14 08:00:00,8,1530.0,1530.0,0.0,1197.43,1109.37,88.06,4/14/2022
2022-04-14 09:00:00,9,1550.0,1550.0,0.0,1198.87,1109.43,89.44,4/14/2022
2022-04-14 10:00:00,10,1570.0,1570.0,0.0,1200.22,1109.44,90.78,4/14/2022
2022-04-14 11:00:00,11,1550.0,1550.0,0.0,1200.97,1109.37,91.6,4/14/2022
2022-04-14 12:00:00,12,1560.0,1560.0,0.0,1201.68,1109.43,92.25,4/14/2022
2022-04-14 13:00:00,13,1580.0,1580.0,0.0,1202.39,1109.46,92.93,4/14/2022
2022-04-14 14:00:00,14,1580.0,1580.0,0.0,1203.05,1109.49,93.56,4/14/2022
2022-04-14 15:00:00,15,1590.0,1590.0,0.0,1202.16,1109.51,92.65,4/14/2022
2022-04-14 16:00:00,16,1600.0,1600.0,0.0,1201.2,1109.45,91.75,4/14/2022
2022-04-14 17:00:00,17,1580.0,1580.0,0.0,1200.72,1109.47,91.25,4/14/2022
2022-04-14 18:00:00,18,1580.0,1580.0,0.0,1200.32,1109.47,90.85,4/14/2022
2022-04-14 19:00:00,19,1580.0,1580.0,0.0,1199.95,1109.44,90.51,4/14/2022
2022-04-14 20:00:00,20,1570.0,1570.0,0.0,1199.54,1109.44,90.1,4/14/2022
2022-04-14 21:00:00,21,1570.0,1570.0,0.0,1199.14,1109.45,89.69,4/14/2022
2022-04-14 22:00:00,22,1560.0,1560.0,0.0,1198.76,1109.4,89.36,4/14/2022
2022-04-14 23:00:00,23,1560.0,1560.0,0.0,1198.38,1109.39,88.99,4/14/2022
2022-04-14 23:59:59,24,1550.0,1550.0,0.0,1197.99,1109.39,88.6,4/14/2022
2022-04-15 01:00:00,1,1550.0,1550.0,0.0,1197.6,1109.4,88.2,4/15/2022
2022-04-15 02:00:00,2,1550.0,1550.0,0.0,1197.22,1109.43,87.79,4/15/2022
2022-04-15 03:00:00,3,1560.0,1560.0,0.0,1196.8,1109.4,87.4,4/15/2022
2022-04-15 04:00:00,4,1560.0,1560.0,0.0,1196.41,1109.44,86.97,4/15/2022
2022-04-15 05:00:00,5,1550.0,1550.0,0.0,1196.0,1109.36,86.64,4/15/2022
2022-04-15 06:00:00,6,1560.0,1560.0,0.0,1195.59,1109.38,86.21,4/15/2022
2022-04-15 07:00:00,7,1520.0,1520.0,0.0,1194.66,1109.38,85.28,4/15/2022
2022-04-15 08:00:00,8,1520.0,1520.0,0.0,1195.34,1109.4,85.94,4/15/2022
2022-04-15 09:00:00,9,1530.0,1530.0,0.0,1196.19,1109.37,86.82,4/15/2022
2022-04-15 10:00:00,10,1530.0,1530.0,0.0,1197.03,1109.39,87.64,4/15/2022
2022-04-15 11:00:00,11,1550.0,1550.0,0.0,1197.87,1109.38,88.49,4/15/2022
2022-04-15 12:00:00,12,1550.0,1550.0,0.0,1198.69,1109.41,89.28,4/15/2022
2022-04-15 13:00:00,13,1560.0,1560.0,0.0,1199.49,1109.42,90.07,4/15/2022
2022-04-15 14:00:00,14,1560.0,1560.0,0.0,1200.27,1109.41,90.86,4/15/2022
2022-04-15 15:00:00,15,1580.0,1580.0,0.0,1201.01,1109.43,91.58,4/15/2022
2022-04-15 16:00:00,16,1580.0,1580.0,0.0,1201.78,1109.48,92.3,4/15/2022
2022-04-15 17:00:00,17,1570.0,1570.0,0.0,1202.47,1109.42,93.05,4/15/2022
2022-04-15 18:00:00,18,1600.0,1600.0,0.0,1201.56,1109.46,92.1,4/15/2022
2022-04-15 19:00:00,19,1600.0,1600.0,0.0,1200.62,1109.49,91.13,4/15/2022
2022-04-15 20:00:00,20,1570.0,1570.0,0.0,1200.23,1109.44,90.79,4/15/2022
2022-04-15 21:00:00,21,1570.0,1570.0,0.0,1199.87,1109.4,90.47,4/15/2022
2022-04-15 22:00:00,22,1570.0,1570.0,0.0,1199.5,1109.45,90.05,4/15/2022
2022-04-15 23:00:00,23,1560.0,1560.0,0.0,1199.13,1109.45,89.68,4/15/2022
2022-04-15 23:59:59,24,1570.0,1570.0,0.0,1198.75,1109.43,89.32,4/15/2022
2022-04-16 01:00:00,1,1560.0,1560.0,0.0,1198.37,1109.39,88.98,4/16/2022
2022-04-16 02:00:00,2,1550.0,1550.0,0.0,1198.0,1109.41,88.59,4/16/2022
2022-04-16 03:00:00,3,1560.0,1560.0,0.0,1197.61,1109.41,88.2,4/16/2022
2022-04-16 04:00:00,4,1550.0,1550.0,0.0,1197.25,1109.36,87.89,4/16/2022
2022-04-16 05:00:00,5,1560.0,1560.0,0.0,1196.87,1109.39,87.48,4/16/2022
2022-04-16 06:00:00,6,1550.0,1550.0,0.0,1196.48,1109.38,87.1,4/16/2022
2022-04-16 07:00:00,7,1550.0,1550.0,0.0,1195.6,1109.37,86.23,4/16/2022
2022-04-16 08:00:00,8,1520.0,1520.0,0.0,1196.31,1109.37,86.94,4/16/2022
2022-04-16 09:00:00,9,1560.0,1560.0,0.0,1197.17,1109.37,87.8,4/16/2022
2022-04-16 10:00:00,10,1550.0,1550.0,0.0,1197.96,1109.41,88.55,4/16/2022
2022-04-16 11:00:00,11,1530.0,1530.0,0.0,1198.81,1109.4,89.41,4/16/2022
2022-04-16 12:00:00,12,1570.0,1570.0,0.0,1199.63,1109.41,90.22,4/16/2022
2022-04-16 13:00:00,13,1560.0,1560.0,0.0,1200.41,1109.43,90.98,4/16/2022
2022-04-16 14:00:00,14,1560.0,1560.0,0.0,1201.16,1109.41,91.75,4/16/2022
2022-04-16 15:00:00,15,1580.0,1580.0,0.0,1201.87,1109.49,92.38,4/16/2022
2022-04-16 16:00:00,16,1580.0,1580.0,0.0,1200.97,1109.45,91.52,4/16/2022
2022-04-16 17:00:00,17,1570.0,1570.0,0.0,1200.06,1109.42,90.64,4/16/2022
2022-04-16 18:00:00,18,1580.0,1580.0,0.0,1199.12,1109.44,89.68,4/16/2022
2022-04-16 19:00:00,19,1580.0,1580.0,0.0,1198.12,1109.45,88.67,4/16/2022
2022-04-16 20:00:00,20,1560.0,1560.0,0.0,1197.67,1109.46,88.21,4/16/2022
2022-04-16 21:00:00,21,1550.0,1550.0,0.0,1197.32,1109.4,87.92,4/16/2022
2022-04-16 22:00:00,22,1550.0,1550.0,0.0,1196.94,1109.42,87.52,4/16/2022
2022-04-16 23:00:00,23,1530.0,1530.0,0.0,1196.57,1109.37,87.2,4/16/2022
2022-04-16 23:59:59,24,1520.0,1520.0,0.0,1196.21,1109.41,86.8,4/16/2022
2022-04-17 01:00:00,1,1560.0,1560.0,0.0,1195.83,1109.47,86.36,4/17/2022
2022-04-17 02:00:00,2,1550.0,1550.0,0.0,1195.45,1109.38,86.07,4/17/2022
2022-04-17 03:00:00,3,1530.0,1530.0,0.0,1195.07,1109.39,85.68,4/17/2022
2022-04-17 04:00:00,4,1560.0,1560.0,0.0,1194.68,1109.39,85.29,4/17/2022
2022-04-17 05:00:00,5,1550.0,1550.0,0.0,1194.29,1109.41,84.88,4/17/2022
2022-04-17 06:00:00,6,1550.0,1550.0,0.0,1193.91,1109.36,84.55,4/17/2022
2022-04-17 07:00:00,7,1520.0,1520.0,0.0,1193.56,1109.4,84.16,4/17/2022
2022-04-17 08:00:00,8,1510.0,1510.0,0.0,1194.35,1109.32,85.03,4/17/2022
2022-04-17 09:00:00,9,1520.0,1520.0,0.0,1195.32,1109.36,85.96,4/17/2022
2022-04-17 10:00:00,10,1520.0,1520.0,0.0,1196.22,1109.35,86.87,4/17/2022
2022-04-17 11:00:00,11,1530.0,1530.0,0.0,1197.06,1109.4,87.66,4/17/2022
2022-04-17 12:00:00,12,1560.0,1560.0,0.0,1197.88,1109.43,88.45,4/17/2022
2022-04-17 13:00:00,13,1570.0,1570.0,0.0,1198.69,1109.42,89.27,4/17/2022
2022-04-17 14:00:00,14,1560.0,1560.0,0.0,1199.48,1109.45,90.03,4/17/2022
2022-04-17 15:00:00,15,1560.0,1560.0,0.0,1200.24,1109.48,90.76,4/17/2022
2022-04-17 16:00:00,16,1560.0,1560.0,0.0,1200.99,1109.42,91.57,4/17/2022
2022-04-17 17:00:00,17,1570.0,1570.0,0.0,1201.7,1109.46,92.24,4/17/2022
2022-04-17 18:00:00,18,1590.0,1590.0,0.0,1200.77,1109.47,91.3,4/17/2022
2022-04-17 19:00:00,19,1580.0,1580.0,0.0,1199.81,1109.44,90.37,4/17/2022
2022-04-17 20:00:00,20,1570.0,1570.0,0.0,1199.45,1109.44,90.01,4/17/2022
2022-04-17 21:00:00,21,1560.0,1560.0,0.0,1199.09,1109.41,89.68,4/17/2022
2022-04-17 22:00:00,22,1560.0,1560.0,0.0,1198.72,1109.43,89.29,4/17/2022
2022-04-17 23:00:00,23,1560.0,1560.0,0.0,1198.35,1109.45,88.9,4/17/2022
2022-04-17 23:59:59,24,1560.0,1560.0,0.0,1197.99,1109.47,88.52,4/17/2022
2022-04-18 01:00:00,1,1560.0,1560.0,0.0,1197.61,1109.42,88.19,4/18/2022
2022-04-18 02:00:00,2,1570.0,1570.0,0.0,1197.24,1109.4,87.84,4/18/2022
2022-04-18 03:00:00,3,1570.0,1570.0,0.0,1196.87,1109.4,87.47,4/18/2022
2022-04-18 04:00:00,4,1560.0,1560.0,0.0,1196.49,1109.42,87.07,4/18/2022
2022-04-18 05:00:00,5,1550.0,1550.0,0.0,1196.11,1109.42,86.69,4/18/2022
2022-04-18 06:00:00,6,1560.0,1560.0,0.0,1195.74,1109.39,86.35,4/18/2022
2022-04-18 07:00:00,7,1530.0,1530.0,0.0,1194.86,1109.36,85.5,4/18/2022
2022-04-18 08:00:00,8,1520.0,1520.0,0.0,1195.55,1109.35,86.2,4/18/2022
2022-04-18 09:00:00,9,1530.0,1530.0,0.0,1196.4,1109.4,87.0,4/18/2022
2022-04-18 10:00:00,10,1560.0,1560.0,0.0,1197.23,1109.44,87.79,4/18/2022
2022-04-18 11:00:00,11,1550.0,1550.0,0.0,1198.05,1109.4,88.65,4/18/2022
2022-04-18 12:00:00,12,1560.0,1560.0,0.0,1198.85,1109.41,89.44,4/18/2022
2022-04-18 13:00:00,13,1580.0,1580.0,0.0,1199.63,1109.46,90.17,4/18/2022
