,Hour,Total Outflow kcfs,Generation Flow kcfs,Spill kcfs,Forebay Elevation,Tailwater Elevation,Average Head,Hope Gage Elevation,Date,0
43,15,26.2,17.7,8.5,2049.8,2036.3,13.5,,2022-04-08,
44,16,26.1,17.6,8.5,2049.7,2036.4,13.3,2052.36,2022-04-08,
45,17,26.0,17.5,8.5,2049.7,2036.4,13.3,,2022-04-08,
46,18,26.0,17.5,8.5,2049.5,2036.3,13.2,,2022-04-08,
47,19,25.7,17.3,8.4,2049.4,2036.3,13.1,,2022-04-08,
48,20,25.9,17.5,8.4,2049.4,2036.3,13.1,,2022-04-08,
49,21,26.1,17.7,8.4,2049.4,2036.3,13.1,,2022-04-08,
50,22,26.2,17.8,8.4,2049.4,2036.3,13.1,,2022-04-08,
51,23,26.2,17.8,8.4,2049.5,2036.3,13.2,,2022-04-08,
52,24,26.4,17.9,8.5,2049.5,2036.3,13.2,2052.42,2022-04-08,
53,,,,,,,,,2022-04-08,
54,AVG,27.43,19.13,8.3,2049.09,2036.64,12.45,2052.37,2022-04-08,
55,,,,,,,,,2022-04-08,
56,MAX,29.4,21.2,8.5,2049.8,2037.0,13.5,2052.42,2022-04-08,
57,MIN,25.7,17.3,8.1,2048.5,2036.3,11.5,2052.32,2022-04-08,
58,1,26.4,17.9,8.5,2049.6,2036.3,13.3,,2022-04-09,
59,2,26.6,18.1,8.5,2049.6,2036.3,13.3,,2022-04-09,
60,3,26.7,18.2,8.5,2049.6,2036.3,13.3,,2022-04-09,
61,4,26.7,18.2,8.5,2049.7,2036.3,13.4,,2022-04-09,
62,5,26.2,17.7,8.5,2049.8,2036.2,13.6,,2022-04-09,
63,6,26.2,17.7,8.5,2049.8,2036.2,13.6,,2022-04-09,
64,7,26.2,17.7,8.5,2049.8,2036.2,13.6,,2022-04-09,
65,8,26.1,17.5,8.6,2049.8,2036.2,13.6,2052.38,2022-04-09,
66,9,26.2,17.6,8.6,2049.8,2036.2,13.6,,2022-04-09,
67,10,26.2,17.6,8.6,2049.8,2036.2,13.6,,2022-04-09,
68,11,26.3,17.8,8.5,2049.8,2036.1,13.7,,2022-04-09,
69,12,25.8,17.2,8.6,2049.9,2036.2,13.7,,2022-04-09,
70,13,25.9,17.3,8.6,2049.8,2036.1,13.7,,2022-04-09,
71,14,25.9,17.3,8.6,2049.8,2036.1,13.7,,2022-04-09,
72,15,25.9,17.3,8.6,2049.8,2036.1,13.7,,2022-04-09,
73,16,25.8,17.3,8.5,2049.8,2036.1,13.7,2052.32,2022-04-09,
74,17,25.8,17.3,8.5,2049.8,2036.1,13.7,,2022-04-09,
75,18,26.1,17.5,8.6,2049.9,2036.1,13.8,,2022-04-09,
76,19,26.0,17.4,8.6,2050.0,2036.1,13.9,,2022-04-09,
77,20,26.0,17.4,8.6,2050.0,2036.1,13.9,,2022-04-09,
78,21,25.9,17.3,8.6,2050.0,2036.1,13.9,,2022-04-09,
79,22,25.8,17.2,8.6,2050.0,2036.1,13.9,,2022-04-09,
80,23,25.8,17.2,8.6,2050.0,2036.1,13.9,,2022-04-09,
81,24,25.9,17.3,8.6,2050.0,2036.1,13.9,2052.4,2022-04-09,
82,,,,,,,,,2022-04-09,
83,AVG,26.1,17.54,8.56,2049.83,2036.16,13.67,2052.37,2022-04-09,
84,,,,,,,,,2022-04-09,
85,MAX,26.7,18.2,8.6,2050.0,2036.3,13.9,2052.4,2022-04-09,
86,MIN,25.8,17.2,8.5,2049.6,2036.1,13.3,2052.32,2022-04-09,
87,1,26.0,17.4,8.6,2050.0,2036.1,13.9,,2022-04-10,
88,2,26.0,17.4,8.6,2050.0,2036.1,13.9,,2022-04-10,
89,3,26.0,17.4,8.6,2050.1,2036.0,14.1,,2022-04-10,
90,4,26.0,17.4,8.6,2050.1,2036.1,14.0,,2022-04-10,
91,5,25.9,17.3,8.6,2050.1,2036.1,14.0,,2022-04-10,
92,6,25.9,17.3,8.6,2050.1,2036.1,14.0,,2022-04-10,
93,7,25.9,17.3,8.6,2050.0,2036.0,14.0,,2022-04-10,
94,8,25.9,17.3,8.6,2050.0,2036.0,14.0,2052.37,2022-04-10,
95,9,25.9,17.3,8.6,2050.0,2036.0,14.0,,2022-04-10,
96,10,25.8,17.2,8.6,2050.0,2036.0,14.0,,2022-04-10,
97,11,25.9,17.3,8.6,2050.0,2036.0,14.0,,2022-04-10,
98,12,26.0,17.4,8.6,2050.0,2036.0,14.0,,2022-04-10,
99,13,26.0,17.4,8.6,2050.0,2036.0,14.0,,2022-04-10,
100,14,25.9,17.3,8.6,2050.1,2036.0,14.1,,2022-04-10,
101,15,26.0,17.4,8.6,2050.0,2036.0,14.0,,2022-04-10,
102,16,26.0,17.4,8.6,2050.0,2036.0,14.0,2052.35,2022-04-10,
103,17,26.0,17.4,8.6,2049.9,2036.0,13.9,,2022-04-10,
104,18,26.1,17.5,8.6,2049.9,2036.1,13.8,,2022-04-10,
105,19,26.1,17.5,8.6,2050.0,2036.1,13.9,,2022-04-10,
106,20,25.9,17.3,8.6,2050.0,2036.0,14.0,,2022-04-10,
107,21,26.0,17.4,8.6,2050.0,2036.0,14.0,,2022-04-10,
108,22,26.0,17.4,8.6,2050.0,2036.0,14.0,,2022-04-10,
109,23,26.0,17.4,8.6,2050.0,2036.0,14.0,,2022-04-10,
110,24,26.0,17.4,8.6,2050.1,2036.0,14.1,2052.45,2022-04-10,
111,,,,,,,,,2022-04-10,
112,AVG,25.97,17.37,8.6,2050.02,2036.03,13.99,2052.39,2022-04-10,
113,,,,,,,,,2022-04-10,
114,MAX,26.1,17.5,8.6,2050.1,2036.1,14.1,2052.45,2022-04-10,
115,MIN,25.8,17.2,8.6,2049.9,2036.0,13.8,2052.35,2022-04-10,
116,1,26.0,17.4,8.6,2050.1,2036.0,14.1,,2022-04-11,
117,2,26.1,17.5,8.6,2050.1,2036.0,14.1,,2022-04-11,
118,3,26.1,17.5,8.6,2050.2,2036.0,14.2,,2022-04-11,
119,4,26.2,17.5,8.7,2050.2,2036.0,14.2,,2022-04-11,
120,5,26.4,17.7,8.7,2050.2,2036.0,14.2,,2022-04-11,
121,6,26.5,17.8,8.7,2050.2,2036.0,14.2,,2022-04-11,
122,7,26.1,17.4,8.7,2050.3,2036.0,14.3,,2022-04-11,
123,8,25.8,17.1,8.7,2050.4,2036.0,14.4,2052.49,2022-04-11,
124,9,25.8,17.1,8.7,2050.5,2036.0,14.5,,2022-04-11,
125,10,26.1,17.4,8.7,2050.6,2036.0,14.6,,2022-04-11,
126,11,24.2,15.4,8.8,2051.0,2035.7,15.3,,2022-04-11,
127,12,24.0,15.1,8.9,2051.2,2035.7,15.5,,2022-04-11,
128,13,24.2,15.3,8.9,2051.2,2035.7,15.5,,2022-04-11,
129,14,24.0,16.0,8.0,2051.2,2035.7,15.5,,2022-04-11,
130,15,23.8,16.1,7.7,2051.2,2035.7,15.5,,2022-04-11,
131,16,23.8,16.1,7.7,2051.2,2035.7,15.5,2052.48,2022-04-11,
132,17,24.2,16.5,7.7,2051.1,2035.7,15.4,,2022-04-11,
133,18,24.1,16.4,7.7,2051.1,2035.6,15.5,,2022-04-11,
134,19,24.0,16.3,7.7,2051.1,2035.6,15.5,,2022-04-11,
135,20,23.8,16.1,7.7,2051.1,2035.6,15.5,,2022-04-11,
136,21,23.9,16.2,7.7,2051.1,2035.6,15.5,,2022-04-11,
137,22,23.8,16.1,7.7,2051.1,2035.6,15.5,,2022-04-11,
138,23,23.7,16.0,7.7,2051.1,2035.6,15.5,,2022-04-11,
139,24,23.7,16.0,7.7,2051.1,2035.6,15.5,2052.51,2022-04-11,
140,,,,,,,,,2022-04-11,
141,AVG,24.85,16.58,8.26,2050.77,2035.8,14.98,2052.49,2022-04-11,
142,,,,,,,,,2022-04-11,
143,MAX,26.5,17.8,8.9,2051.2,2036.0,15.5,2052.51,2022-04-11,
144,MIN,23.7,15.1,7.7,2050.1,2035.6,14.1,2052.48,2022-04-11,
145,1,23.8,16.1,7.7,2051.1,2035.5,15.6,,2022-04-12,
146,2,23.9,16.2,7.7,2051.0,2035.6,15.4,,2022-04-12,
147,3,23.9,16.2,7.7,2051.1,2035.6,15.5,,2022-04-12,
148,4,23.9,16.2,7.7,2051.1,2035.5,15.6,,2022-04-12,
149,5,23.9,16.2,7.7,2051.0,2035.5,15.5,,2022-04-12,
150,6,23.9,16.2,7.7,2051.0,2035.5,15.5,,2022-04-12,
151,7,23.9,16.2,7.7,2051.1,2035.5,15.6,,2022-04-12,
152,8,23.8,16.1,7.7,2051.1,2035.5,15.6,2052.55,2022-04-12,
153,9,23.8,16.1,7.7,2051.1,2035.5,15.6,,2022-04-12,
154,10,23.8,16.1,7.7,2051.1,2035.5,15.6,,2022-04-12,
155,11,23.7,16.0,7.7,2051.1,2035.5,15.6,,2022-04-12,
156,12,23.8,16.1,7.7,2051.1,2035.5,15.6,,2022-04-12,
157,13,23.9,16.2,7.7,2051.1,2035.5,15.6,,2022-04-12,
158,14,23.9,16.2,7.7,2051.1,2035.4,15.7,,2022-04-12,
159,15,23.9,16.2,7.7,2051.1,2035.4,15.7,,2022-04-12,
160,16,23.9,16.2,7.7,2051.1,2035.3,15.8,2052.63,2022-04-12,
161,17,23.0,15.3,7.7,2051.1,2035.3,15.8,,2022-04-12,
162,18,23.8,16.1,7.7,2051.1,2035.3,15.8,,2022-04-12,
163,19,23.8,16.1,7.7,2051.1,2035.3,15.8,,2022-04-12,
164,20,23.8,16.1,7.7,2051.1,2035.3,15.8,,2022-04-12,
165,21,23.8,16.1,7.7,2051.1,2035.3,15.8,,2022-04-12,
166,22,23.9,16.2,7.7,2051.1,2035.3,15.8,,2022-04-12,
167,23,23.9,16.2,7.7,2051.2,2035.3,15.9,,2022-04-12,
168,24,23.9,16.2,7.7,2051.2,2035.3,15.9,2052.65,2022-04-12,
169,,,,,,,,,2022-04-12,
170,AVG,23.82,16.12,7.7,2051.1,2035.43,15.67,2052.61,2022-04-12,
171,,,,,,,,,2022-04-12,
172,MAX,23.9,16.2,7.7,2051.2,2035.6,15.9,2052.65,2022-04-12,
173,MIN,23.0,15.3,7.7,2051.0,2035.3,15.4,2052.55,2022-04-12,
174,1,23.8,16.1,7.7,2051.3,2035.3,16.0,,2022-04-13,
175,2,23.9,16.2,7.7,2051.3,2035.3,16.0,,2022-04-13,
176,3,23.9,16.2,7.7,2051.3,2035.3,16.0,,2022-04-13,
177,4,23.9,16.2,7.7,2051.3,2035.3,16.0,,2022-04-13,
178,5,23.7,16.0,7.7,2051.3,2035.3,16.0,,2022-04-13,
179,6,23.8,16.1,7.7,2051.3,2035.3,16.0,,2022-04-13,
180,7,23.8,16.1,7.7,2051.3,2035.3,16.0,,2022-04-13,
181,8,23.8,16.1,7.7,2051.3,2035.3,16.0,2052.67,2022-04-13,
182,9,23.8,16.1,7.7,2051.3,2035.4,15.9,,2022-04-13,
183,10,24.0,16.3,7.7,2051.3,2035.4,15.9,,2022-04-13,
184,11,24.0,16.3,7.7,2051.2,2035.4,15.8,,2022-04-13,
185,12,23.9,16.2,7.7,2051.2,2035.4,15.8,,2022-04-13,
186,13,23.9,16.2,7.7,2051.2,2035.4,15.8,,2022-04-13,
187,14,23.9,16.2,7.7,2051.2,2035.4,15.8,,2022-04-13,
188,15,24.0,16.3,7.7,2051.2,2035.4,15.8,,2022-04-13,
189,16,24.0,16.3,7.7,2051.2,2035.4,15.8,2052.7,2022-04-13,
190,17,24.0,16.3,7.7,2051.1,2035.4,15.7,,2022-04-13,
191,18,24.2,16.5,7.7,2051.1,2035.4,15.7,,2022-04-13,
192,19,24.2,16.5,7.7,2051.1,2035.4,15.7,,2022-04-13,
193,20,24.0,16.3,7.7,2051.1,2035.4,15.7,,2022-04-13,
194,21,23.9,16.2,7.7,2051.1,2035.4,15.7,,2022-04-13,
195,22,23.9,16.2,7.7,2051.1,2035.4,15.7,,2022-04-13,
196,23,23.9,16.2,7.7,2051.1,2035.4,15.7,,2022-04-13,
197,24,23.9,16.2,7.7,2051.2,2035.4,15.8,2052.75,2022-04-13,
198,,,,,,,,,2022-04-13,
199,AVG,23.92,16.22,7.7,2051.21,2035.37,15.85,2052.71,2022-04-13,
200,,,,,,,,,2022-04-13,
201,MAX,24.2,16.5,7.7,2051.3,2035.4,16.0,2052.75,2022-04-13,
202,MIN,23.7,16.0,7.7,2051.1,2035.3,15.7,2052.67,2022-04-13,
203,1,24.0,16.3,7.7,2051.2,2035.5,15.7,,2022-04-14,
204,2,24.0,16.3,7.7,2051.3,2035.5,15.8,,2022-04-14,
205,3,23.9,16.2,7.7,2051.3,2035.5,15.8,,2022-04-14,
206,4,24.2,16.5,7.7,2051.3,2035.5,15.8,,2022-04-14,
207,5,24.1,16.4,7.7,2051.3,2035.5,15.8,,2022-04-14,
208,6,24.1,16.4,7.7,2051.4,2035.5,15.9,,2022-04-14,
209,7,24.0,16.3,7.7,2051.4,2035.5,15.9,,2022-04-14,
210,8,24.0,16.3,7.7,2051.4,2035.5,15.9,2052.74,2022-04-14,
211,9,23.9,16.2,7.7,2051.4,2035.5,15.9,,2022-04-14,
212,10,24.1,16.4,7.7,2051.4,2035.5,15.9,,2022-04-14,
213,11,22.7,16.4,6.3,2051.6,2035.3,16.3,,2022-04-14,
214,12,21.1,15.9,5.2,2051.7,2035.2,16.5,,2022-04-14,
215,13,21.2,16.0,5.2,2051.7,2035.1,16.6,,2022-04-14,
216,14,21.3,16.1,5.2,2051.6,2035.1,16.5,,2022-04-14,
217,15,21.3,16.1,5.2,2051.6,2035.1,16.5,,2022-04-14,
218,16,21.2,16.0,5.2,2051.5,2035.1,16.4,2052.83,2022-04-14,
219,17,21.1,15.9,5.2,2051.5,2035.1,16.4,,2022-04-14,
220,18,21.0,15.8,5.2,2051.5,2035.1,16.4,,2022-04-14,
221,19,21.1,15.9,5.2,2051.5,2035.1,16.4,,2022-04-14,
222,20,21.0,15.8,5.2,2051.5,2035.1,16.4,,2022-04-14,
223,21,20.9,15.7,5.2,2051.5,2035.0,16.5,,2022-04-14,
224,22,21.0,15.8,5.2,2051.5,2035.0,16.5,,2022-04-14,
225,23,20.8,15.6,5.2,2051.5,2035.0,16.5,,2022-04-14,
226,24,21.2,16.0,5.2,2051.6,2035.0,16.6,2052.92,2022-04-14,
227,,,,,,,,,2022-04-14,
228,AVG,22.38,16.1,6.29,2051.47,2035.26,16.2,2052.83,2022-04-14,
229,,,,,,,,,2022-04-14,
230,MAX,24.2,16.5,7.7,2051.7,2035.5,16.6,2052.92,2022-04-14,
231,MIN,20.8,15.6,5.2,2051.2,2035.0,15.7,2052.74,2022-04-14,
232,1,21.3,16.1,5.2,2051.6,2035.0,16.6,,2022-04-15,
233,2,21.2,16.0,5.2,2051.6,2035.0,16.6,,2022-04-15,
234,3,21.5,16.3,5.2,2051.7,2035.0,16.7,,2022-04-15,
235,4,21.5,16.3,5.2,2051.7,2035.1,16.6,,2022-04-15,
236,5,21.3,16.1,5.2,2051.7,2035.1,16.6,,2022-04-15,
237,6,21.2,16.0,5.2,2051.7,2035.0,16.7,,2022-04-15,
238,7,21.1,15.9,5.2,2051.8,2035.0,16.8,,2022-04-15,
239,8,21.1,15.9,5.2,2051.8,2035.0,16.8,2052.95,2022-04-15,
240,9,21.1,15.9,5.2,2051.8,2035.0,16.8,,2022-04-15,
241,10,21.2,16.0,5.2,2051.8,2035.0,16.8,,2022-04-15,
242,11,21.2,16.0,5.2,2051.8,2035.0,16.8,,2022-04-15,
243,12,21.2,16.0,5.2,2051.8,2034.9,16.9,,2022-04-15,
244,13,21.2,16.0,5.2,2051.8,2034.9,16.9,,2022-04-15,
245,14,21.3,16.1,5.2,2051.7,2034.9,16.8,,2022-04-15,
246,15,21.3,16.1,5.2,2051.8,2035.0,16.8,,2022-04-15,
247,16,21.3,16.1,5.2,2051.7,2034.9,16.8,2053.02,2022-04-15,
248,17,21.3,16.1,5.2,2051.8,2034.9,16.9,,2022-04-15,
249,18,21.5,16.3,5.2,2051.7,2034.9,16.8,,2022-04-15,
250,19,21.6,16.4,5.2,2051.7,2034.9,16.8,,2022-04-15,
251,20,20.9,15.7,5.2,2051.7,2034.9,16.8,,2022-04-15,
252,21,20.9,15.7,5.2,2051.7,2034.9,16.8,,2022-04-15,
253,22,20.8,15.6,5.2,2051.7,2034.9,16.8,,2022-04-15,
254,23,20.9,15.7,5.2,2051.7,2034.9,16.8,,2022-04-15,
255,24,20.9,15.7,5.2,2051.8,2034.9,16.9,2053.04,2022-04-15,
256,,,,,,,,,2022-04-15,
257,AVG,21.2,16.0,5.2,2051.73,2034.96,16.77,2053.0,2022-04-15,
258,,,,,,,,,2022-04-15,
259,MAX,21.6,16.4,5.2,2051.8,2035.1,16.9,2053.04,2022-04-15,
260,MIN,20.8,15.6,5.2,2051.6,2034.9,16.6,2052.95,2022-04-15,
261,1,20.9,15.7,5.2,2051.8,2034.9,16.9,,2022-04-16,
262,2,20.9,15.7,5.2,2051.8,2034.9,16.9,,2022-04-16,
263,3,20.8,15.6,5.2,2051.8,2034.9,16.9,,2022-04-16,
264,4,20.9,15.7,5.2,2051.8,2034.9,16.9,,2022-04-16,
265,5,20.9,15.7,5.2,2051.8,2034.9,16.9,,2022-04-16,
266,6,20.9,15.7,5.2,2051.9,2034.9,17.0,,2022-04-16,
267,7,20.9,15.7,5.2,2051.9,2034.9,17.0,,2022-04-16,
268,8,20.7,15.5,5.2,2051.9,2034.8,17.1,2052.98,2022-04-16,
269,9,20.9,15.7,5.2,2051.9,2034.9,17.0,,2022-04-16,
270,10,20.9,15.7,5.2,2051.9,2034.8,17.1,,2022-04-16,
271,11,20.8,15.6,5.2,2051.9,2034.9,17.0,,2022-04-16,
272,12,21.1,15.9,5.2,2051.9,2034.8,17.1,,2022-04-16,
273,13,20.9,15.7,5.2,2051.9,2034.8,17.1,,2022-04-16,
274,14,21.0,15.8,5.2,2051.9,2034.8,17.1,,2022-04-16,
275,15,21.0,15.8,5.2,2051.8,2034.8,17.0,,2022-04-16,
276,16,21.0,15.8,5.2,2051.8,2034.8,17.0,2052.94,2022-04-16,
277,17,19.4,14.2,5.2,2052.0,2034.6,17.4,,2022-04-16,
278,18,19.6,14.4,5.2,2052.0,2034.6,17.4,,2022-04-16,
279,19,19.0,13.8,5.2,2052.0,2034.5,17.5,,2022-04-16,
280,20,18.6,13.4,5.2,2052.0,2034.4,17.6,,2022-04-16,
281,21,18.5,13.3,5.2,2051.9,2034.4,17.5,,2022-04-16,
282,22,19.0,13.8,5.2,2051.9,2034.4,17.5,,2022-04-16,
283,23,19.0,13.8,5.2,2051.9,2034.4,17.5,,2022-04-16,
284,24,18.9,13.7,5.2,2051.9,2034.4,17.5,2052.99,2022-04-16,
285,,,,,,,,,2022-04-16,
286,AVG,20.27,15.07,5.2,2051.89,2034.73,17.16,2052.97,2022-04-16,
287,,,,,,,,,2022-04-16,
288,MAX,21.1,15.9,5.2,2052.0,2034.9,17.6,2052.99,2022-04-16,
289,MIN,18.5,13.3,5.2,2051.8,2034.4,16.9,2052.94,2022-04-16,
290,1,19.1,13.9,5.2,2051.9,2034.4,17.5,,2022-04-17,
291,2,19.2,14.0,5.2,2051.9,2034.4,17.5,,2022-04-17,
292,3,18.8,13.6,5.2,2052.0,2034.4,17.6,,2022-04-17,
293,4,18.9,13.7,5.2,2052.0,2034.4,17.6,,2022-04-17,
294,5,19.0,13.8,5.2,2052.0,2034.4,17.6,,2022-04-17,
295,6,19.0,13.8,5.2,2052.0,2034.4,17.6,,2022-04-17,
296,7,18.7,13.5,5.2,2052.0,2034.4,17.6,,2022-04-17,
297,8,18.4,13.2,5.2,2052.0,2034.3,17.7,2053.02,2022-04-17,
298,9,18.3,13.1,5.2,2051.9,2034.3,17.6,,2022-04-17,
299,10,19.4,14.2,5.2,2051.9,2034.4,17.5,,2022-04-17,
300,11,19.6,14.4,5.2,2051.8,2034.4,17.4,,2022-04-17,
301,12,19.6,14.4,5.2,2051.8,2034.4,17.4,,2022-04-17,
302,13,17.4,12.2,5.2,2052.1,2034.2,17.9,,2022-04-17,
303,14,17.2,12.0,5.2,2052.2,2034.1,18.1,,2022-04-17,
304,15,17.4,12.2,5.2,2052.2,2034.1,18.1,,2022-04-17,
305,16,17.3,12.1,5.2,2052.2,2034.0,18.2,2053.05,2022-04-17,
306,17,17.4,12.2,5.2,2052.2,2034.0,18.2,,2022-04-17,
307,18,17.5,12.3,5.2,2052.2,2034.0,18.2,,2022-04-17,
308,19,17.4,12.1,5.2,2052.3,2034.0,18.3,,2022-04-17,
309,20,17.0,11.7,5.3,2052.3,2034.0,18.3,,2022-04-17,
310,21,16.8,11.5,5.3,2052.3,2033.9,18.4,,2022-04-17,
311,22,16.8,11.5,5.3,2052.3,2033.9,18.4,,2022-04-17,
312,23,17.0,11.7,5.3,2052.3,2033.9,18.4,,2022-04-17,
313,24,16.9,11.6,5.3,2052.3,2033.9,18.4,2053.12,2022-04-17,
314,,,,,,,,,2022-04-17,
315,AVG,18.09,12.86,5.22,2052.09,2034.19,17.9,2053.06,2022-04-17,
316,,,,,,,,,2022-04-17,
317,MAX,19.6,14.4,5.3,2052.3,2034.4,18.4,2053.12,2022-04-17,
318,MIN,16.8,11.5,5.2,2051.8,2033.9,17.4,2053.02,2022-04-17,
319,1,16.9,11.6,5.3,2052.4,2033.9,18.5,,2022-04-18,
320,2,16.9,11.6,5.3,2052.4,2033.9,18.5,,2022-04-18,
321,3,17.0,11.7,5.3,2052.4,2033.9,18.5,,2022-04-18,
322,4,17.0,11.7,5.3,2052.4,2033.9,18.5,,2022-04-18,
323,5,17.0,11.7,5.3,2052.4,2033.9,18.5,,2022-04-18,
324,6,17.0,11.7,5.3,2052.4,2033.9,18.5,,2022-04-18,
325,7,17.0,11.7,5.3,2052.4,2033.9,18.5,,2022-04-18,
326,8,16.8,11.5,5.3,2052.4,2033.8,18.6,2053.11,2022-04-18,
327,9,16.9,11.6,5.3,2052.4,2033.8,18.6,,2022-04-18,
328,10,16.9,11.6,5.3,2052.4,2033.8,18.6,,2022-04-18,
329,11,16.9,11.6,5.3,2052.5,2033.8,18.7,,2022-04-18,
330,12,16.9,11.6,5.3,2052.5,2033.8,18.7,,2022-04-18,
331,13,17.1,11.8,5.3,2052.5,2033.8,18.7,,2022-04-18,
332,14,17.1,11.8,5.3,2052.5,2033.8,18.7,,2022-04-18,
333,15,17.1,11.8,5.3,2052.5,2033.8,18.7,,2022-04-18,
334,16,17.2,11.9,5.3,2052.6,2033.8,18.8,2053.23,2022-04-18,
335,17,17.0,11.7,5.3,2052.6,2033.8,18.8,,2022-04-18,
336,18,17.2,11.9,5.3,2052.6,2033.8,18.8,,2022-04-18,
337,19,17.1,11.8,5.3,2052.5,2033.8,18.7,,2022-04-18,
338,20,17.1,11.8,5.3,2052.5,2033.8,18.7,,2022-04-18,
339,21,16.9,11.6,5.3,2052.6,2033.8,18.8,,2022-04-18,
340,22,16.9,11.6,5.3,2052.6,2033.8,18.8,,2022-04-18,
341,23,17.0,11.7,5.3,2052.6,2033.8,18.8,,2022-04-18,
342,24,16.9,11.6,5.3,2052.6,2033.8,18.8,2053.36,2022-04-18,
343,,,,,,,,,2022-04-18,
344,AVG,16.99,11.69,5.3,2052.49,2033.83,18.66,2053.23,2022-04-18,
345,,,,,,,,,2022-04-18,
346,MAX,17.2,11.9,5.3,2052.6,2033.9,18.8,2053.36,2022-04-18,
347,MIN,16.8,11.5,5.3,2052.4,2033.8,18.5,2053.11,2022-04-18,
348,1,17.0,11.7,5.3,2052.6,2033.8,18.8,,2022-04-19,
349,2,17.1,11.8,5.3,2052.5,2033.8,18.7,,2022-04-19,
350,3,17.1,11.8,5.3,2052.5,2033.8,18.7,,2022-04-19,
351,4,17.1,11.8,5.3,2052.5,2033.8,18.7,,2022-04-19,
352,5,17.2,11.9,5.3,2052.6,2033.8,18.8,,2022-04-19,
353,6,17.2,11.9,5.3,2052.6,2033.8,18.8,,2022-04-19,
354,7,17.1,11.8,5.3,2052.6,2033.8,18.8,,2022-04-19,
355,8,17.0,11.7,5.3,2052.6,2033.8,18.8,2053.5,2022-04-19,
356,9,17.0,11.7,5.3,2052.5,2033.8,18.7,,2022-04-19,
357,10,16.9,11.6,5.3,2052.6,2033.8,18.8,,2022-04-19,
