,Hour,Total Outflow kcfs,Generation Flow kcfs,Spill kcfs,Forebay Elevation,Tailwater Elevation,Average Head,Nav Lock Tailwater Elevation,Date,0
46,18,43.1,13.3,29.3,437.74,340.71,97.03,340.78,2022-04-08,
47,19,28.3,13.3,14.5,437.84,339.62,98.22,339.83,2022-04-08,
48,20,28.5,13.2,14.8,437.65,339.4,98.25,339.63,2022-04-08,
49,21,28.6,13.3,14.8,437.81,339.38,98.43,339.67,2022-04-08,
50,22,28.7,13.2,14.9,437.78,339.38,98.4,339.71,2022-04-08,
51,23,28.5,13.2,14.8,437.7,339.17,98.53,339.46,2022-04-08,
52,24,28.5,13.2,14.9,437.81,339.32,98.49,339.61,2022-04-08,
53,,,,,,,,,2022-04-08,
54,AVG,40.21,13.28,26.24,437.87,340.48,97.38,340.83,2022-04-08,
55,,,,,,,,,2022-04-08,
56,MAX,45.7,13.4,30.4,438.08,341.04,98.53,341.49,2022-04-08,
57,MIN,28.3,13.2,14.5,437.64,339.17,96.74,339.46,2022-04-08,
58,1,28.6,13.2,14.9,437.77,339.27,98.5,339.55,2022-04-09,
59,2,35.8,13.3,22.0,437.98,339.78,98.2,340.32,2022-04-09,
60,3,37.0,13.3,23.2,437.94,339.79,98.15,340.21,2022-04-09,
61,4,36.8,13.3,23.1,437.84,339.78,98.06,340.29,2022-04-09,
62,5,36.9,13.3,23.1,437.94,339.91,98.03,340.17,2022-04-09,
63,6,36.8,13.2,23.1,437.84,339.81,98.03,340.16,2022-04-09,
64,7,36.8,13.2,23.1,437.94,339.76,98.18,340.23,2022-04-09,
65,8,37.0,13.3,23.1,437.9,339.84,98.06,340.17,2022-04-09,
66,9,36.9,13.3,23.1,437.91,339.86,98.05,340.24,2022-04-09,
67,10,37.0,13.3,23.1,437.91,339.88,98.03,340.3,2022-04-09,
68,11,38.5,13.4,23.1,437.96,339.85,98.11,340.16,2022-04-09,
69,12,37.0,13.3,23.2,437.98,339.85,98.13,340.52,2022-04-09,
70,13,37.0,13.3,23.2,437.93,339.89,98.04,340.24,2022-04-09,
71,14,37.0,13.3,23.2,437.96,339.98,97.98,340.38,2022-04-09,
72,15,37.0,13.3,23.2,437.95,339.89,98.06,340.14,2022-04-09,
73,16,37.0,13.3,23.2,437.9,340.07,97.83,340.58,2022-04-09,
74,17,37.0,13.4,23.1,437.93,339.99,97.94,340.38,2022-04-09,
75,18,38.9,13.4,25.0,438.04,340.41,97.63,340.7,2022-04-09,
76,19,39.0,13.3,25.2,438.07,340.34,97.73,340.73,2022-04-09,
77,20,38.9,13.3,25.1,437.98,340.31,97.67,340.59,2022-04-09,
78,21,38.9,13.2,25.1,438.05,340.29,97.76,340.56,2022-04-09,
79,22,39.5,13.2,25.8,437.99,340.35,97.64,340.74,2022-04-09,
80,23,42.8,13.2,29.1,438.02,340.53,97.49,340.87,2022-04-09,
81,24,42.9,13.2,29.1,438.03,340.49,97.54,340.86,2022-04-09,
82,,,,,,,,,2022-04-09,
83,AVG,37.54,13.28,23.68,437.95,340.0,97.95,340.38,2022-04-09,
84,,,,,,,,,2022-04-09,
85,MAX,42.9,13.4,29.1,438.07,340.53,98.5,340.87,2022-04-09,
86,MIN,28.6,13.2,14.9,437.77,339.27,97.49,339.55,2022-04-09,
87,1,42.9,13.3,29.1,437.96,340.58,97.38,340.85,2022-04-10,
88,2,42.8,13.3,29.1,437.94,340.49,97.45,340.86,2022-04-10,
89,3,42.8,13.2,29.0,437.91,340.6,97.31,340.86,2022-04-10,
90,4,42.7,13.2,29.0,437.87,340.58,97.29,340.97,2022-04-10,
91,5,42.8,13.3,29.0,437.88,340.51,97.37,340.88,2022-04-10,
92,6,42.9,13.4,29.0,437.93,340.52,97.41,340.95,2022-04-10,
93,7,42.8,13.3,29.0,437.88,340.56,97.32,340.9,2022-04-10,
94,8,42.8,13.3,29.0,437.91,340.59,97.32,340.86,2022-04-10,
95,9,42.8,13.3,29.0,437.92,340.55,97.37,340.96,2022-04-10,
96,10,42.8,13.3,29.0,437.9,340.68,97.22,341.02,2022-04-10,
97,11,42.8,13.3,29.0,437.93,340.57,97.36,340.94,2022-04-10,
98,12,44.4,13.4,29.0,437.9,340.56,97.34,340.93,2022-04-10,
99,13,42.8,13.3,29.0,437.91,340.73,97.18,341.07,2022-04-10,
100,14,42.8,13.3,29.0,437.88,340.64,97.24,340.99,2022-04-10,
101,15,42.7,13.3,28.9,437.86,340.64,97.22,340.99,2022-04-10,
102,16,42.8,13.4,28.9,437.84,340.77,97.07,341.08,2022-04-10,
103,17,42.9,13.5,28.9,437.85,340.81,97.04,341.04,2022-04-10,
104,18,42.9,13.4,29.0,437.91,340.78,97.13,341.08,2022-04-10,
105,19,42.8,13.3,28.9,437.84,340.77,97.07,340.97,2022-04-10,
106,20,42.7,13.3,29.0,437.92,340.85,97.07,341.24,2022-04-10,
107,21,42.7,13.3,29.0,437.86,340.67,97.19,341.08,2022-04-10,
108,22,42.7,13.3,28.9,437.86,340.74,97.12,341.17,2022-04-10,
109,23,42.7,13.3,29.0,437.89,340.77,97.12,341.18,2022-04-10,
110,24,42.8,13.3,29.0,437.87,340.71,97.16,341.21,2022-04-10,
111,,,,,,,,,2022-04-10,
112,AVG,42.86,13.32,28.99,437.89,340.65,97.24,341.0,2022-04-10,
113,,,,,,,,,2022-04-10,
114,MAX,44.4,13.5,29.1,437.96,340.85,97.45,341.24,2022-04-10,
115,MIN,42.7,13.2,28.9,437.84,340.49,97.04,340.85,2022-04-10,
116,1,42.8,13.3,28.9,437.86,340.75,97.11,341.15,2022-04-11,
117,2,42.8,13.4,28.9,437.82,340.71,97.11,341.23,2022-04-11,
118,3,42.8,13.4,28.9,437.87,340.72,97.15,341.29,2022-04-11,
119,4,42.8,13.3,28.9,437.84,340.78,97.06,341.14,2022-04-11,
120,5,42.8,13.4,28.9,437.83,340.77,97.06,341.11,2022-04-11,
121,6,44.2,13.4,30.3,437.89,340.92,96.97,341.36,2022-04-11,
122,7,44.8,13.4,30.9,437.98,340.97,97.01,341.25,2022-04-11,
123,8,44.8,13.4,31.0,437.95,340.97,96.98,341.33,2022-04-11,
124,9,44.9,13.4,31.0,438.03,340.91,97.12,341.22,2022-04-11,
125,10,44.7,13.3,30.8,437.95,340.98,96.97,341.31,2022-04-11,
126,11,44.8,13.3,31.0,437.97,341.03,96.94,341.32,2022-04-11,
127,12,44.7,13.3,31.0,437.92,340.94,96.98,341.35,2022-04-11,
128,13,44.7,13.3,30.9,437.97,340.93,97.04,341.24,2022-04-11,
129,14,40.9,13.4,27.1,437.9,340.67,97.23,340.93,2022-04-11,
130,15,40.8,13.4,26.9,437.9,340.62,97.28,340.95,2022-04-11,
131,16,40.9,13.4,26.9,437.95,340.73,97.22,341.0,2022-04-11,
132,17,40.9,13.5,26.9,437.89,340.67,97.22,341.02,2022-04-11,
133,18,40.9,13.5,26.9,437.92,340.63,97.29,340.9,2022-04-11,
134,19,40.9,13.5,26.9,437.9,340.52,97.38,340.86,2022-04-11,
135,20,40.8,13.4,26.9,437.86,340.54,97.32,340.87,2022-04-11,
136,21,40.8,13.4,26.9,437.86,340.61,97.25,340.89,2022-04-11,
137,22,40.8,13.4,26.9,437.86,340.56,97.3,340.98,2022-04-11,
138,23,40.7,13.3,26.9,437.9,340.59,97.31,340.99,2022-04-11,
139,24,40.7,13.3,26.9,437.87,340.71,97.16,340.95,2022-04-11,
140,,,,,,,,,2022-04-11,
141,AVG,42.53,13.38,28.65,437.9,340.76,97.14,341.11,2022-04-11,
142,,,,,,,,,2022-04-11,
143,MAX,44.9,13.5,31.0,438.03,341.03,97.38,341.36,2022-04-11,
144,MIN,40.7,13.3,26.9,437.82,340.52,96.94,340.86,2022-04-11,
145,1,40.7,13.3,26.9,437.86,340.59,97.27,340.95,2022-04-12,
146,2,40.3,13.3,26.4,437.93,340.57,97.36,340.79,2022-04-12,
147,3,38.8,13.4,24.9,437.88,340.56,97.32,340.78,2022-04-12,
148,4,39.0,13.7,24.8,437.83,340.57,97.26,340.87,2022-04-12,
149,5,39.1,13.8,24.8,437.82,340.59,97.23,340.88,2022-04-12,
150,6,39.1,13.8,24.8,437.83,340.57,97.26,340.87,2022-04-12,
151,7,39.1,13.7,24.8,437.84,340.61,97.23,340.87,2022-04-12,
152,8,39.2,13.7,25.0,437.77,340.62,97.15,340.79,2022-04-12,
153,9,39.1,13.7,24.9,437.74,340.55,97.19,340.77,2022-04-12,
154,10,39.2,13.8,24.9,437.77,340.69,97.08,340.92,2022-04-12,
155,11,40.6,13.7,24.9,437.78,341.05,96.73,341.26,2022-04-12,
156,12,39.1,13.8,24.9,437.8,340.6,97.2,340.92,2022-04-12,
157,13,39.2,13.8,24.8,437.77,340.64,97.13,340.87,2022-04-12,
158,14,39.2,13.8,24.8,437.74,340.66,97.08,340.77,2022-04-12,
159,15,39.1,13.8,24.8,437.74,340.51,97.23,340.97,2022-04-12,
160,16,39.1,13.8,24.8,437.7,340.61,97.09,340.85,2022-04-12,
161,17,39.2,13.8,24.8,437.63,340.6,97.03,340.81,2022-04-12,
162,18,39.3,13.8,25.0,437.65,340.69,96.96,341.01,2022-04-12,
163,19,39.2,13.8,24.9,437.62,340.62,97.0,340.85,2022-04-12,
164,20,42.2,13.8,25.0,437.63,340.8,96.83,341.0,2022-04-12,
165,21,39.2,13.8,24.9,437.53,340.69,96.84,340.84,2022-04-12,
166,22,39.2,13.8,24.9,437.59,340.62,96.97,340.91,2022-04-12,
167,23,39.2,13.7,24.9,437.62,340.58,97.04,340.81,2022-04-12,
168,24,39.1,13.7,24.9,437.56,340.64,96.92,340.92,2022-04-12,
169,,,,,,,,,2022-04-12,
170,AVG,39.44,13.71,25.02,437.73,340.63,97.1,340.89,2022-04-12,
171,,,,,,,,,2022-04-12,
172,MAX,42.2,13.8,26.9,437.93,341.05,97.36,341.26,2022-04-12,
173,MIN,38.8,13.3,24.8,437.53,340.51,96.73,340.77,2022-04-12,
174,1,39.2,13.8,24.9,437.61,340.69,96.92,340.85,2022-04-13,
175,2,39.1,13.8,24.9,437.53,340.65,96.88,340.85,2022-04-13,
176,3,39.1,13.8,24.8,437.49,340.69,96.8,340.94,2022-04-13,
177,4,39.1,13.8,24.8,437.51,340.69,96.82,340.91,2022-04-13,
178,5,39.1,13.8,24.8,437.47,340.65,96.82,340.83,2022-04-13,
179,6,39.1,13.8,24.8,437.51,340.6,96.91,340.81,2022-04-13,
180,7,42.1,13.8,24.8,437.57,340.83,96.74,341.21,2022-04-13,
181,8,39.0,13.7,24.8,437.54,340.67,96.87,340.91,2022-04-13,
182,9,39.1,13.7,24.8,437.52,340.71,96.81,340.96,2022-04-13,
183,10,39.1,13.7,24.8,437.53,340.66,96.87,340.85,2022-04-13,
184,11,39.1,13.7,24.9,437.52,340.64,96.88,340.87,2022-04-13,
185,12,39.2,13.7,25.0,437.48,340.71,96.77,340.9,2022-04-13,
186,13,39.2,13.7,25.0,437.49,340.67,96.82,340.79,2022-04-13,
187,14,34.6,13.7,20.4,437.56,339.96,97.6,340.65,2022-04-13,
188,15,34.2,13.7,20.0,437.56,340.06,97.5,340.6,2022-04-13,
189,16,34.1,13.7,20.0,437.62,339.94,97.68,340.42,2022-04-13,
190,17,34.2,13.7,20.0,437.62,340.04,97.58,340.63,2022-04-13,
191,18,34.2,13.7,20.0,437.62,340.13,97.49,340.4,2022-04-13,
192,19,34.3,13.7,20.0,437.65,339.97,97.68,340.36,2022-04-13,
193,20,34.2,13.6,20.0,437.63,339.93,97.7,340.35,2022-04-13,
194,21,34.2,13.7,20.0,437.67,339.95,97.72,340.56,2022-04-13,
195,22,34.3,13.7,20.1,437.69,339.87,97.82,340.33,2022-04-13,
196,23,34.3,13.7,20.1,437.69,339.85,97.84,340.25,2022-04-13,
197,24,33.9,13.3,20.1,437.72,339.88,97.84,340.29,2022-04-13,
198,,,,,,,,,2022-04-13,
199,AVG,37.0,13.71,22.66,437.57,340.35,97.22,340.69,2022-04-13,
200,,,,,,,,,2022-04-13,
201,MAX,42.1,13.8,25.0,437.72,340.83,97.84,341.21,2022-04-13,
202,MIN,33.9,13.3,20.0,437.47,339.85,96.74,340.25,2022-04-13,
203,1,33.9,13.3,20.1,437.71,339.82,97.89,340.27,2022-04-14,
204,2,34.0,13.3,20.1,437.74,339.83,97.91,340.18,2022-04-14,
205,3,33.9,13.3,20.1,437.78,339.79,97.99,340.35,2022-04-14,
206,4,34.1,13.4,20.2,437.8,339.81,97.99,340.27,2022-04-14,
207,5,34.1,13.4,20.2,437.79,339.69,98.1,340.22,2022-04-14,
208,6,36.0,13.4,20.6,437.72,339.93,97.79,340.44,2022-04-14,
209,7,35.9,13.3,22.1,437.75,340.25,97.5,340.44,2022-04-14,
210,8,35.9,13.3,22.1,437.75,340.01,97.74,340.37,2022-04-14,
211,9,35.8,13.3,22.1,437.76,340.06,97.7,340.45,2022-04-14,
212,10,35.8,13.5,21.9,438.16,339.75,98.41,340.61,2022-04-14,
213,11,42.3,19.3,22.6,438.16,339.75,98.41,340.62,2022-04-14,
214,12,36.0,13.3,22.2,437.78,340.0,97.78,340.5,2022-04-14,
215,13,34.6,13.3,20.8,437.67,339.81,97.86,340.34,2022-04-14,
216,14,34.0,13.3,20.1,437.81,339.93,97.88,340.41,2022-04-14,
217,15,34.0,13.4,20.2,437.76,339.85,97.91,340.08,2022-04-14,
218,16,34.0,13.4,20.1,437.8,339.81,97.99,340.34,2022-04-14,
219,17,33.7,13.4,19.9,437.88,339.83,98.05,340.21,2022-04-14,
220,18,32.9,13.3,19.1,437.84,339.69,98.15,340.31,2022-04-14,
221,19,33.0,13.4,19.1,437.86,339.74,98.12,340.13,2022-04-14,
222,20,32.9,13.3,19.1,437.93,339.74,98.19,340.27,2022-04-14,
223,21,34.4,13.3,19.1,438.03,339.74,98.29,340.24,2022-04-14,
224,22,33.0,13.3,19.2,438.07,339.81,98.26,340.22,2022-04-14,
225,23,32.9,13.3,19.2,437.97,339.73,98.24,340.25,2022-04-14,
226,24,32.9,13.3,19.2,438.01,339.71,98.3,340.17,2022-04-14,
227,,,,,,,,,2022-04-14,
228,AVG,34.58,13.59,20.39,437.86,339.84,98.02,340.32,2022-04-14,
229,,,,,,,,,2022-04-14,
230,MAX,42.3,19.3,22.6,438.16,340.25,98.41,340.62,2022-04-14,
231,MIN,32.9,13.3,19.1,437.67,339.69,97.5,340.08,2022-04-14,
232,1,33.0,13.3,19.2,437.99,339.7,98.29,340.25,2022-04-15,
233,2,33.0,13.3,19.2,438.02,339.78,98.24,340.19,2022-04-15,
234,3,33.1,13.3,19.2,438.06,339.7,98.36,340.26,2022-04-15,
235,4,35.8,13.3,19.0,438.06,339.78,98.28,340.23,2022-04-15,
236,5,32.8,13.3,19.0,438.08,339.64,98.44,340.13,2022-04-15,
237,6,32.7,13.2,19.0,438.02,339.65,98.37,340.13,2022-04-15,
238,7,32.7,13.2,19.0,438.08,339.7,98.38,340.03,2022-04-15,
239,8,32.9,13.3,19.1,438.11,339.64,98.47,339.99,2022-04-15,
240,9,33.0,13.3,19.1,438.16,339.68,98.48,340.08,2022-04-15,
241,10,32.9,13.3,19.1,438.17,339.55,98.62,339.91,2022-04-15,
242,11,32.9,13.3,19.1,438.21,339.58,98.63,340.13,2022-04-15,
243,12,32.9,13.3,19.2,438.17,339.57,98.6,340.02,2022-04-15,
244,13,32.9,13.3,19.2,438.18,339.54,98.64,340.05,2022-04-15,
245,14,39.3,13.3,25.5,438.15,340.38,97.77,340.53,2022-04-15,
246,15,39.9,13.3,26.1,438.21,340.29,97.92,340.68,2022-04-15,
247,16,40.0,13.3,26.2,438.14,340.37,97.77,340.64,2022-04-15,
248,17,39.8,13.2,26.1,438.13,340.34,97.79,340.69,2022-04-15,
249,18,40.0,13.4,26.1,438.18,340.35,97.83,340.8,2022-04-15,
250,19,39.9,13.4,26.0,438.11,340.44,97.67,340.78,2022-04-15,
251,20,39.8,13.3,26.0,438.14,340.38,97.76,340.7,2022-04-15,
252,21,40.5,13.3,26.7,438.06,340.53,97.53,340.87,2022-04-15,
253,22,41.8,13.3,28.0,438.08,340.65,97.43,340.94,2022-04-15,
254,23,41.8,13.2,28.0,438.01,340.7,97.31,340.94,2022-04-15,
255,24,41.7,13.3,27.9,437.95,340.66,97.29,340.94,2022-04-15,
256,,,,,,,,,2022-04-15,
257,AVG,36.46,13.29,22.54,438.1,340.02,98.08,340.41,2022-04-15,
258,,,,,,,,,2022-04-15,
259,MAX,41.8,13.4,28.0,438.21,340.7,98.64,340.94,2022-04-15,
260,MIN,32.7,13.2,19.0,437.95,339.54,97.29,339.91,2022-04-15,
261,1,41.6,13.2,27.9,437.94,340.65,97.29,340.97,2022-04-16,
262,2,41.5,13.2,27.9,437.85,340.62,97.23,340.97,2022-04-16,
263,3,41.6,13.3,27.8,437.85,340.72,97.13,340.96,2022-04-16,
264,4,41.6,13.4,27.8,437.81,340.74,97.07,341.07,2022-04-16,
265,5,41.6,13.4,27.7,437.72,340.76,96.96,340.96,2022-04-16,
266,6,41.6,13.4,27.7,437.87,340.78,97.09,341.15,2022-04-16,
267,7,41.6,13.3,27.7,437.77,340.82,96.95,341.1,2022-04-16,
268,8,41.4,13.2,27.7,437.81,340.81,97.0,340.98,2022-04-16,
269,9,41.5,13.3,27.8,437.82,340.79,97.03,341.2,2022-04-16,
270,10,41.6,13.4,27.7,437.83,340.76,97.07,341.11,2022-04-16,
271,11,41.6,13.4,27.8,437.84,340.92,96.92,341.17,2022-04-16,
272,12,41.7,13.4,27.8,437.82,340.9,96.92,341.09,2022-04-16,
273,13,41.6,13.3,27.8,437.87,340.92,96.95,341.2,2022-04-16,
274,14,41.6,13.4,27.7,437.75,341.02,96.73,341.07,2022-04-16,
275,15,41.5,13.4,27.7,437.75,340.9,96.85,341.23,2022-04-16,
276,16,41.6,13.4,27.7,437.76,340.96,96.8,341.1,2022-04-16,
277,17,41.5,13.4,27.6,437.68,340.9,96.78,341.06,2022-04-16,
278,18,41.1,13.0,27.6,437.64,340.6,97.04,341.06,2022-04-16,
279,19,41.1,12.9,27.6,437.6,340.69,96.91,341.16,2022-04-16,
280,20,42.8,13.0,27.8,437.6,340.78,96.82,341.16,2022-04-16,
281,21,42.8,13.0,27.8,437.66,340.74,96.92,341.02,2022-04-16,
282,22,41.5,13.0,28.0,437.56,340.86,96.7,341.06,2022-04-16,
283,23,41.6,13.0,28.1,437.57,340.79,96.78,341.23,2022-04-16,
284,24,41.6,13.0,28.1,437.53,340.8,96.73,341.11,2022-04-16,
285,,,,,,,,,2022-04-16,
286,AVG,41.63,13.24,27.78,437.75,340.8,96.94,341.09,2022-04-16,
287,,,,,,,,,2022-04-16,
288,MAX,42.8,13.4,28.1,437.94,341.02,97.29,341.23,2022-04-16,
289,MIN,41.1,12.9,27.6,437.53,340.6,96.7,340.96,2022-04-16,
290,1,39.7,13.0,26.2,437.51,340.56,96.95,340.87,2022-04-17,
291,2,38.6,13.0,25.1,437.51,340.53,96.98,340.87,2022-04-17,
292,3,38.7,13.0,25.2,437.45,340.48,96.97,340.75,2022-04-17,
293,4,41.6,13.0,25.1,437.56,341.11,96.45,341.32,2022-04-17,
294,5,38.6,12.9,25.2,437.57,340.46,97.11,340.82,2022-04-17,
295,6,38.6,12.9,25.2,437.5,340.45,97.05,340.8,2022-04-17,
296,7,38.6,13.0,25.2,437.55,340.49,97.06,340.68,2022-04-17,
297,8,38.6,12.9,25.2,437.49,340.49,97.0,340.88,2022-04-17,
298,9,38.6,13.0,25.2,437.53,340.5,97.03,340.76,2022-04-17,
299,10,43.1,13.0,25.2,437.59,340.97,96.62,341.16,2022-04-17,
300,11,38.6,12.9,25.2,437.6,340.5,97.1,340.72,2022-04-17,
301,12,37.7,13.0,24.2,437.61,339.99,97.62,340.54,2022-04-17,
302,13,36.3,12.9,22.9,437.6,339.89,97.71,340.44,2022-04-17,
303,14,37.8,12.8,23.0,437.54,339.97,97.57,340.38,2022-04-17,
304,15,36.4,12.8,23.0,437.7,339.98,97.72,340.63,2022-04-17,
305,16,36.4,12.8,23.1,437.56,339.8,97.76,340.37,2022-04-17,
306,17,36.4,12.9,23.1,437.66,339.9,97.76,340.31,2022-04-17,
307,18,36.6,13.0,23.1,437.68,339.95,97.73,340.51,2022-04-17,
308,19,36.4,12.9,23.0,437.63,339.84,97.79,340.43,2022-04-17,
309,20,36.4,12.8,23.1,437.73,339.84,97.89,340.44,2022-04-17,
310,21,36.5,12.9,23.2,437.79,339.78,98.01,340.36,2022-04-17,
311,22,36.4,12.7,23.2,437.68,339.78,97.9,340.39,2022-04-17,
312,23,36.6,12.9,23.2,437.78,339.88,97.9,340.23,2022-04-17,
313,24,36.7,13.0,23.2,437.77,339.76,98.01,340.32,2022-04-17,
314,,,,,,,,,2022-04-17,
315,AVG,37.91,12.92,24.14,437.61,340.2,97.4,340.62,2022-04-17,
316,,,,,,,,,2022-04-17,
317,MAX,43.1,13.0,26.2,437.79,341.11,98.01,341.32,2022-04-17,
318,MIN,36.3,12.7,22.9,437.45,339.76,96.45,340.23,2022-04-17,
319,1,36.7,12.9,23.2,437.81,339.75,98.06,340.36,2022-04-18,
320,2,36.8,13.0,23.3,437.8,339.76,98.04,340.41,2022-04-18,
321,3,36.8,13.0,23.3,437.88,339.79,98.09,340.29,2022-04-18,
322,4,37.2,13.0,23.8,437.85,339.89,97.96,340.59,2022-04-18,
323,5,42.2,12.9,28.9,437.81,340.42,97.39,340.91,2022-04-18,
324,6,42.3,12.9,28.9,437.9,340.34,97.56,341.01,2022-04-18,
325,7,42.3,12.9,28.9,437.8,340.31,97.49,340.81,2022-04-18,
326,8,42.3,12.9,28.9,437.86,340.34,97.52,340.78,2022-04-18,
327,9,42.4,13.0,28.9,437.87,340.37,97.5,340.86,2022-04-18,
328,10,42.3,12.9,28.9,437.87,340.39,97.48,340.77,2022-04-18,
329,11,42.4,13.1,28.9,437.74,340.02,97.72,340.79,2022-04-18,
330,12,40.1,10.8,28.8,437.74,339.77,97.97,340.69,2022-04-18,
331,13,39.7,10.4,28.8,437.69,339.83,97.86,340.71,2022-04-18,
332,14,39.6,10.4,28.7,437.7,339.69,98.01,340.74,2022-04-18,
333,15,39.7,10.5,28.7,437.68,339.9,97.78,340.72,2022-04-18,
334,16,39.6,10.4,28.7,437.62,339.78,97.84,340.81,2022-04-18,
335,17,39.5,10.4,28.7,437.69,340.04,97.65,340.66,2022-04-18,
336,18,39.6,10.4,28.7,437.69,340.0,97.69,340.7,2022-04-18,
337,19,39.6,10.4,28.7,437.67,339.99,97.68,340.7,2022-04-18,
338,20,39.6,10.4,28.6,437.63,340.04,97.59,340.69,2022-04-18,
339,21,39.4,10.4,28.5,437.47,340.28,97.19,340.86,2022-04-18,
340,22,39.4,10.5,28.5,437.56,340.1,97.46,340.84,2022-04-18,
341,23,39.5,10.3,28.6,437.59,340.09,97.5,340.61,2022-04-18,
342,24,39.4,10.4,28.5,437.45,340.3,97.15,340.98,2022-04-18,
343,,,,,,,,,2022-04-18,
344,AVG,39.93,11.59,27.85,437.72,340.05,97.67,340.72,2022-04-18,
345,,,,,,,,,2022-04-18,
346,MAX,42.4,13.1,28.9,437.9,340.42,98.09,341.01,2022-04-18,
347,MIN,36.7,10.3,23.2,437.45,339.69,97.15,340.29,2022-04-18,
348,1,39.3,10.4,28.3,437.67,340.33,97.34,340.87,2022-04-19,
349,2,39.4,10.6,28.3,437.76,340.19,97.57,340.86,2022-04-19,
350,3,38.9,10.4,28.0,437.68,340.12,97.56,340.96,2022-04-19,
351,4,39.1,10.5,28.1,437.73,340.2,97.53,340.7,2022-04-19,
352,5,40.6,10.5,28.2,437.85,340.67,97.18,341.2,2022-04-19,
353,6,39.2,10.5,28.2,437.87,340.25,97.62,340.97,2022-04-19,
354,7,39.2,10.4,28.2,437.8,340.21,97.59,340.91,2022-04-19,
355,8,39.2,10.4,28.2,437.8,340.24,97.56,340.89,2022-04-19,
356,9,39.2,10.4,28.2,437.81,340.17,97.64,340.84,2022-04-19,
