,Hour,Total Outflow kcfs,Generation Flow kcfs,Spill kcfs,PH 1 Forebay Elevation,Tailwater Elevation,Average Head,Project Forebay Elevation,Stevenson Gage Elevation,Project Tailwater Elevation,Date
86,MIN,145.9,133.5,0.0,73.2,13.2,59.6,73.1,73.9,13.1,2022-04-09
87,1,153.9,38.5,103.0,73.5,13.5,60.0,73.2,74.1,13.2,2022-04-10
88,2,153.3,32.5,108.4,73.3,13.2,60.1,73.1,74.0,13.1,2022-04-10
89,3,152.7,32.0,108.3,73.4,13.2,60.2,73.1,74.0,13.2,2022-04-10
90,4,152.9,32.2,108.3,73.3,13.2,60.1,73.1,74.0,13.1,2022-04-10
91,5,152.6,31.9,108.3,73.4,13.2,60.2,73.2,74.0,13.2,2022-04-10
92,6,152.6,31.9,108.3,73.2,13.2,60.0,73.2,74.0,13.2,2022-04-10
93,7,152.7,31.9,108.4,73.1,13.2,59.9,73.1,74.0,13.2,2022-04-10
94,8,152.7,31.9,108.4,73.2,13.2,60.0,73.2,74.0,13.3,2022-04-10
95,9,152.7,31.9,108.4,73.2,13.2,60.0,73.2,74.0,13.2,2022-04-10
96,10,152.8,32.0,108.4,73.2,13.2,60.0,73.2,74.1,13.3,2022-04-10
97,11,152.7,31.9,108.4,73.2,13.2,60.0,73.2,74.1,13.2,2022-04-10
98,12,152.9,32.1,108.4,73.3,13.2,60.1,73.3,74.1,13.2,2022-04-10
99,13,152.8,31.9,108.5,73.3,13.2,60.1,73.3,74.1,13.2,2022-04-10
100,14,152.8,31.9,108.5,73.3,13.3,60.0,73.3,74.2,13.4,2022-04-10
101,15,153.0,32.1,108.5,73.2,13.3,59.9,73.2,74.1,13.2,2022-04-10
102,16,152.5,32.2,107.9,73.3,13.2,60.1,73.3,74.1,13.2,2022-04-10
103,17,153.4,32.3,108.7,73.3,13.4,59.9,73.3,74.1,13.3,2022-04-10
104,18,153.6,32.4,108.8,73.6,13.3,60.3,73.4,74.2,13.3,2022-04-10
105,19,153.4,32.2,108.8,73.5,13.2,60.3,73.2,74.1,13.3,2022-04-10
106,20,153.4,32.2,108.8,73.5,13.2,60.3,73.3,74.2,13.5,2022-04-10
107,21,153.1,31.9,108.8,73.6,13.1,60.5,73.4,74.2,13.2,2022-04-10
108,22,153.3,32.2,108.7,73.7,13.1,60.6,73.5,74.2,13.1,2022-04-10
109,23,143.4,32.2,98.8,73.7,12.5,61.2,73.5,74.2,12.6,2022-04-10
110,24,143.2,32.1,98.7,73.7,12.5,61.2,73.5,74.2,12.5,2022-04-10
111,,,,,,,,,,,2022-04-10
112,AVG,152.18,32.35,107.44,73.38,13.17,60.21,73.26,74.1,13.17,2022-04-10
113,,,,,,,,,,,2022-04-10
114,MAX,153.9,38.5,108.8,73.7,13.5,61.2,73.5,74.2,13.5,2022-04-10
115,MIN,143.2,31.9,98.7,73.1,12.5,59.9,73.1,74.0,12.5,2022-04-10
116,1,143.2,32.0,98.8,73.8,12.3,61.5,73.5,74.3,12.4,2022-04-11
117,2,143.3,32.1,98.8,73.8,12.2,61.6,73.5,74.2,12.3,2022-04-11
118,3,143.2,32.0,98.8,73.7,12.2,61.5,73.5,74.2,12.3,2022-04-11
119,4,143.0,31.9,98.7,73.7,12.2,61.5,73.4,74.2,12.3,2022-04-11
120,5,143.6,32.5,98.7,73.6,12.3,61.3,73.4,74.2,12.3,2022-04-11
121,6,143.7,32.6,98.7,73.4,12.6,60.8,73.4,74.2,12.6,2022-04-11
122,7,143.6,32.3,98.9,73.8,12.6,61.2,73.8,74.5,12.6,2022-04-11
123,8,143.5,32.1,99.0,73.8,12.7,61.1,73.8,74.6,12.8,2022-04-11
124,9,143.2,31.9,98.9,73.9,12.6,61.3,73.9,74.7,12.6,2022-04-11
125,10,143.6,32.3,98.9,73.7,13.1,60.6,73.7,74.8,13.2,2022-04-11
126,11,143.4,32.1,98.9,73.9,13.6,60.3,73.9,74.8,13.6,2022-04-11
127,12,161.3,31.9,117.0,74.0,13.6,60.4,74.0,74.9,13.6,2022-04-11
128,13,161.3,31.8,117.1,74.1,13.8,60.3,74.1,75.0,13.8,2022-04-11
129,14,161.7,32.1,117.2,74.2,13.8,60.4,74.2,75.0,13.8,2022-04-11
130,15,161.7,32.2,117.1,74.2,13.9,60.3,74.2,75.1,13.9,2022-04-11
131,16,161.9,32.3,117.2,74.2,13.9,60.3,74.2,75.1,14.0,2022-04-11
132,17,162.2,32.6,117.2,74.3,14.1,60.2,74.3,75.2,14.1,2022-04-11
133,18,162.1,32.5,117.2,74.7,14.0,60.7,74.4,75.3,14.1,2022-04-11
134,19,162.2,32.5,117.3,74.8,14.0,60.8,74.5,75.4,14.1,2022-04-11
135,20,162.0,32.2,117.4,74.9,14.0,60.9,74.6,75.5,14.1,2022-04-11
136,21,161.9,32.2,117.3,75.0,14.0,61.0,74.7,75.6,14.1,2022-04-11
137,22,161.9,32.1,117.4,75.1,13.9,61.2,74.8,75.7,14.1,2022-04-11
138,23,162.1,32.4,117.3,75.1,14.0,61.1,74.9,75.7,14.1,2022-04-11
139,24,162.0,32.2,117.4,75.1,14.0,61.1,74.9,75.7,14.1,2022-04-11
140,,,,,,,,,,,2022-04-11
141,AVG,153.4,32.2,108.8,74.2,13.31,60.89,74.07,74.91,13.37,2022-04-11
142,,,,,,,,,,,2022-04-11
143,MAX,162.2,32.6,117.4,75.1,14.1,61.6,74.9,75.7,14.1,2022-04-11
144,MIN,143.0,31.8,98.7,73.4,12.2,60.2,73.4,74.2,12.3,2022-04-11
145,1,162.1,32.3,117.4,75.2,13.9,61.3,74.9,75.7,14.0,2022-04-12
146,2,161.8,32.2,117.2,75.0,13.9,61.1,74.7,75.6,13.9,2022-04-12
147,3,162.0,32.4,117.2,74.9,14.0,60.9,74.6,75.6,14.0,2022-04-12
148,4,161.8,32.3,117.1,74.9,13.9,61.0,74.7,75.6,14.0,2022-04-12
149,5,161.8,32.2,117.2,74.9,13.9,61.0,74.7,75.5,14.0,2022-04-12
150,6,161.8,32.2,117.2,74.8,14.0,60.8,74.5,75.4,14.0,2022-04-12
151,7,161.9,32.3,117.2,74.8,14.1,60.7,74.6,75.5,14.1,2022-04-12
152,8,161.9,32.1,117.4,75.0,14.1,60.9,74.8,75.6,14.1,2022-04-12
153,9,161.9,32.2,117.3,75.0,14.1,60.9,74.8,75.7,14.1,2022-04-12
154,10,163.3,32.2,118.7,75.1,14.2,60.9,74.8,75.7,14.1,2022-04-12
155,11,173.3,32.0,128.9,75.0,14.7,60.3,74.7,75.6,14.7,2022-04-12
156,12,173.4,32.0,129.0,75.0,14.7,60.3,74.8,75.7,14.7,2022-04-12
157,13,173.4,32.0,129.0,75.0,14.7,60.3,74.8,75.7,14.7,2022-04-12
158,14,173.6,32.5,128.7,75.0,14.7,60.3,74.7,75.7,14.8,2022-04-12
159,15,174.8,33.6,128.8,75.0,14.7,60.3,74.7,75.7,14.7,2022-04-12
160,16,174.2,32.9,128.9,75.0,14.8,60.2,74.7,75.7,14.8,2022-04-12
161,17,175.0,33.7,128.9,74.9,14.8,60.1,74.7,75.7,14.9,2022-04-12
162,18,174.6,33.3,128.9,75.0,14.8,60.2,74.7,75.7,14.9,2022-04-12
163,19,175.2,33.7,129.1,75.1,14.9,60.2,74.8,75.8,15.0,2022-04-12
164,20,174.1,32.7,129.0,75.1,14.9,60.2,74.8,75.8,15.0,2022-04-12
165,21,174.0,32.6,129.0,75.1,14.9,60.2,74.8,75.8,14.9,2022-04-12
166,22,174.3,32.9,129.0,75.2,14.9,60.3,74.9,75.8,15.0,2022-04-12
167,23,174.2,32.7,129.1,75.3,14.9,60.4,75.0,75.9,14.9,2022-04-12
168,24,174.2,32.7,129.1,75.3,14.8,60.5,75.0,75.9,14.9,2022-04-12
169,,,,,,,,,,,2022-04-12
170,AVG,169.11,32.57,124.14,75.02,14.47,60.55,74.76,75.68,14.51,2022-04-12
171,,,,,,,,,,,2022-04-12
172,MAX,175.2,33.7,129.1,75.3,14.9,61.3,75.0,75.9,15.0,2022-04-12
173,MIN,161.8,32.0,117.1,74.8,13.9,60.1,74.5,75.4,13.9,2022-04-12
174,1,174.2,32.7,129.1,75.2,14.8,60.4,75.0,75.9,14.8,2022-04-13
175,2,174.0,32.6,129.0,75.1,14.7,60.4,74.8,75.8,14.8,2022-04-13
176,3,174.1,32.8,128.9,74.8,14.8,60.0,74.6,75.6,14.8,2022-04-13
177,4,173.9,32.7,128.8,74.7,14.7,60.0,74.4,75.4,14.8,2022-04-13
178,5,174.1,32.9,128.8,74.6,14.8,59.8,74.3,75.3,14.8,2022-04-13
179,6,173.8,32.6,128.8,74.4,14.8,59.6,74.1,75.1,14.8,2022-04-13
180,7,173.6,32.6,128.6,74.3,14.8,59.5,74.0,75.0,14.9,2022-04-13
181,8,173.4,32.4,128.6,74.4,14.9,59.5,74.1,75.0,14.9,2022-04-13
182,9,173.8,32.6,128.8,74.5,14.9,59.6,74.2,75.2,15.0,2022-04-13
183,10,174.1,32.6,129.1,74.8,14.9,59.9,74.5,75.4,15.0,2022-04-13
184,11,174.2,32.6,129.2,74.9,15.0,59.9,74.6,75.6,15.0,2022-04-13
185,12,174.0,32.3,129.3,75.1,14.9,60.2,74.8,75.7,15.1,2022-04-13
186,13,174.1,32.5,129.2,74.9,14.9,60.0,74.7,75.6,14.9,2022-04-13
187,14,174.2,32.6,129.2,74.9,14.9,60.0,74.7,75.7,15.0,2022-04-13
188,15,174.2,32.7,129.1,74.9,14.9,60.0,74.6,75.6,15.0,2022-04-13
189,16,174.0,32.6,129.0,74.9,14.8,60.1,74.7,75.6,15.0,2022-04-13
190,17,174.2,32.8,129.0,74.9,14.8,60.1,74.7,75.6,14.9,2022-04-13
191,18,174.0,32.5,129.1,75.0,14.9,60.1,74.8,75.7,15.0,2022-04-13
192,19,174.0,32.5,129.1,75.0,15.0,60.0,74.7,75.7,15.0,2022-04-13
193,20,174.6,33.2,129.0,75.0,15.0,60.0,74.8,75.7,15.1,2022-04-13
194,21,175.1,33.6,129.1,75.0,15.3,59.7,74.7,75.7,15.2,2022-04-13
195,22,175.1,33.6,129.1,75.0,15.0,60.0,74.8,75.7,15.2,2022-04-13
196,23,175.3,33.8,129.1,75.0,15.1,59.9,74.8,75.8,15.1,2022-04-13
197,24,175.2,33.6,129.2,75.1,15.0,60.1,74.9,75.8,15.0,2022-04-13
198,,,,,,,,,,,2022-04-13
199,AVG,174.22,32.81,129.01,74.85,14.9,59.95,74.6,75.55,14.96,2022-04-13
200,,,,,,,,,,,2022-04-13
201,MAX,175.3,33.8,129.3,75.2,15.3,60.4,75.0,75.9,15.2,2022-04-13
202,MIN,173.4,32.3,128.6,74.3,14.7,59.5,74.0,75.0,14.8,2022-04-13
203,1,175.2,33.6,129.2,75.2,15.0,60.2,74.9,75.8,15.1,2022-04-14
204,2,175.4,33.8,129.2,75.1,15.0,60.1,74.9,75.8,15.1,2022-04-14
205,3,175.4,33.8,129.2,75.1,15.0,60.1,74.9,75.8,15.0,2022-04-14
206,4,175.4,33.8,129.2,75.2,15.0,60.2,74.9,75.8,15.0,2022-04-14
207,5,175.4,33.8,129.2,75.2,15.0,60.2,74.9,75.8,15.0,2022-04-14
208,6,175.2,33.6,129.2,75.2,15.0,60.2,74.9,75.9,15.1,2022-04-14
209,7,175.3,33.6,129.3,75.2,15.1,60.1,74.9,75.9,15.1,2022-04-14
210,8,175.3,33.6,129.3,75.2,15.1,60.1,74.9,75.9,15.2,2022-04-14
211,9,175.1,33.5,129.2,75.2,15.2,60.0,74.9,75.9,15.2,2022-04-14
212,10,175.2,33.6,129.2,75.1,15.2,59.9,74.9,75.8,15.2,2022-04-14
213,11,175.1,33.5,129.2,75.1,15.1,60.0,74.8,75.8,15.2,2022-04-14
214,12,175.1,33.6,129.1,75.0,15.2,59.8,74.8,75.8,15.1,2022-04-14
215,13,175.1,33.6,129.1,75.0,15.1,59.9,74.7,75.7,15.3,2022-04-14
216,14,175.2,33.7,129.1,74.9,15.1,59.8,74.7,75.6,15.1,2022-04-14
217,15,175.1,33.6,129.1,74.8,15.1,59.7,74.6,75.6,15.1,2022-04-14
218,16,175.2,33.8,129.0,74.9,15.1,59.8,74.7,75.6,15.2,2022-04-14
219,17,175.0,33.6,129.0,74.8,15.0,59.8,74.6,75.6,15.0,2022-04-14
220,18,175.1,33.8,128.9,74.8,15.1,59.7,74.5,75.5,15.1,2022-04-14
221,19,175.1,33.7,129.0,74.5,15.1,59.4,74.6,75.6,15.2,2022-04-14
222,20,175.1,33.6,129.1,74.8,15.3,59.5,74.6,75.6,15.3,2022-04-14
223,21,174.8,33.4,129.0,74.7,15.2,59.5,74.5,75.5,15.3,2022-04-14
224,22,174.9,33.5,129.0,74.6,15.2,59.4,74.4,75.4,15.2,2022-04-14
225,23,157.1,33.4,111.3,74.9,14.4,60.5,74.7,75.5,14.4,2022-04-14
226,24,155.9,32.8,110.7,74.7,14.2,60.5,74.7,75.5,14.3,2022-04-14
227,,,,,,,,,,,2022-04-14
228,AVG,173.61,33.6,127.62,74.97,15.03,59.93,74.75,75.7,15.07,2022-04-14
229,,,,,,,,,,,2022-04-14
230,MAX,175.4,33.8,129.3,75.2,15.3,60.5,74.9,75.9,15.3,2022-04-14
231,MIN,155.9,32.8,110.7,74.5,14.2,59.4,74.4,75.4,14.3,2022-04-14
232,1,155.7,32.7,110.6,74.7,14.1,60.6,74.5,75.4,14.3,2022-04-15
233,2,155.4,32.6,110.4,74.6,14.1,60.5,74.4,75.2,14.1,2022-04-15
234,3,155.7,32.9,110.4,74.6,14.0,60.6,74.3,75.2,14.0,2022-04-15
235,4,155.9,33.0,110.5,74.5,14.0,60.5,74.2,75.1,14.0,2022-04-15
236,5,155.7,32.9,110.4,74.4,13.8,60.6,74.1,75.0,13.9,2022-04-15
237,6,155.7,32.9,110.4,74.3,13.9,60.4,74.1,74.9,13.9,2022-04-15
238,7,151.2,32.8,106.0,74.5,13.7,60.8,74.2,75.0,13.7,2022-04-15
239,8,151.1,32.6,106.1,74.6,13.7,60.9,74.3,75.1,13.8,2022-04-15
240,9,150.8,32.4,106.0,74.7,13.8,60.9,74.4,75.2,13.8,2022-04-15
241,10,151.2,32.7,106.1,74.7,13.8,60.9,74.4,75.2,13.8,2022-04-15
242,11,151.6,32.8,106.4,74.7,13.7,61.0,74.5,75.3,13.8,2022-04-15
243,12,151.5,32.5,106.6,74.7,13.7,61.0,74.5,75.3,13.8,2022-04-15
244,13,151.3,32.6,106.3,74.6,13.7,60.9,74.6,75.2,13.8,2022-04-15
245,14,142.7,32.7,97.6,74.8,13.1,61.7,74.6,75.3,13.2,2022-04-15
246,15,142.0,32.7,96.9,74.8,13.0,61.8,74.6,75.3,13.2,2022-04-15
247,16,142.1,32.7,97.0,74.8,12.9,61.9,74.6,75.3,13.0,2022-04-15
248,17,141.4,32.1,96.9,74.8,12.8,62.0,74.6,75.3,12.9,2022-04-15
249,18,141.7,32.5,96.8,74.9,12.7,62.2,74.7,75.3,12.8,2022-04-15
250,19,141.4,32.6,96.4,74.9,12.8,62.1,74.7,75.4,12.9,2022-04-15
251,20,141.3,32.4,96.5,75.0,12.9,62.1,74.8,75.5,13.0,2022-04-15
252,21,141.2,32.3,96.5,75.1,12.9,62.2,74.9,75.6,13.1,2022-04-15
253,22,141.3,32.4,96.5,75.2,12.9,62.3,75.0,75.7,13.0,2022-04-15
254,23,141.4,32.4,96.6,75.3,12.8,62.5,75.1,75.8,13.0,2022-04-15
255,24,141.4,32.4,96.6,75.4,12.8,62.6,75.2,75.9,13.0,2022-04-15
256,,,,,,,,,,,2022-04-15
257,AVG,147.95,32.61,102.94,74.78,13.4,61.37,74.55,75.31,13.49,2022-04-15
258,,,,,,,,,,,2022-04-15
259,MAX,155.9,33.0,110.6,75.4,14.1,62.6,75.2,75.9,14.3,2022-04-15
260,MIN,141.2,32.1,96.4,74.3,12.7,60.4,74.1,74.9,12.8,2022-04-15
261,1,141.4,32.5,96.5,75.6,12.8,62.8,75.3,75.9,12.9,2022-04-16
262,2,132.8,32.3,88.1,75.3,12.3,63.0,75.1,75.9,12.4,2022-04-16
263,3,132.4,32.3,87.7,75.2,12.5,62.7,75.0,75.7,12.3,2022-04-16
264,4,132.3,32.2,87.7,75.2,12.0,63.2,75.0,75.7,12.2,2022-04-16
265,5,132.5,32.4,87.7,75.3,12.0,63.3,75.1,75.6,12.2,2022-04-16
266,6,132.3,32.2,87.7,75.1,12.0,63.1,74.9,75.5,12.2,2022-04-16
267,7,132.5,32.4,87.7,75.0,12.2,62.8,74.8,75.4,12.3,2022-04-16
268,8,132.0,31.9,87.7,75.0,12.3,62.7,74.8,75.4,12.5,2022-04-16
269,9,132.4,32.3,87.7,75.2,12.5,62.7,75.0,75.6,12.6,2022-04-16
270,10,132.6,32.4,87.8,75.2,12.5,62.7,74.9,75.6,12.6,2022-04-16
271,11,132.4,32.1,87.9,75.2,12.5,62.7,74.9,75.6,12.6,2022-04-16
272,12,132.8,32.4,88.0,75.2,12.5,62.7,75.0,75.7,12.6,2022-04-16
273,13,132.5,32.2,87.9,75.1,12.4,62.7,74.9,75.6,12.6,2022-04-16
274,14,132.5,32.3,87.8,75.0,12.4,62.6,74.8,75.5,12.6,2022-04-16
275,15,132.5,32.3,87.8,74.9,12.3,62.6,74.7,75.4,12.5,2022-04-16
276,16,132.5,32.4,87.7,74.8,12.1,62.7,74.6,75.3,12.2,2022-04-16
277,17,132.3,32.2,87.7,74.9,12.1,62.8,74.7,75.4,12.1,2022-04-16
278,18,132.7,32.6,87.7,74.8,12.3,62.5,74.6,75.3,12.2,2022-04-16
279,19,133.0,32.8,87.8,74.8,12.0,62.8,74.6,75.3,12.1,2022-04-16
280,20,141.8,32.6,96.8,74.7,12.6,62.1,74.5,75.2,12.7,2022-04-16
281,21,141.9,32.4,97.1,74.7,12.8,61.9,74.5,75.2,12.9,2022-04-16
282,22,141.8,32.4,97.0,74.7,12.9,61.8,74.5,75.2,13.0,2022-04-16
283,23,141.6,32.1,97.1,74.8,12.9,61.9,74.6,75.3,12.9,2022-04-16
284,24,141.5,32.0,97.1,74.8,12.8,62.0,74.5,75.3,12.9,2022-04-16
285,,,,,,,,,,,2022-04-16
286,AVG,134.79,32.32,90.07,75.02,12.4,62.62,74.8,75.48,12.5,2022-04-16
287,,,,,,,,,,,2022-04-16
288,MAX,141.9,32.8,97.1,75.6,12.9,63.3,75.3,75.9,13.0,2022-04-16
289,MIN,132.0,31.9,87.7,74.7,12.0,61.8,74.5,75.2,12.1,2022-04-16
290,1,141.8,32.3,97.1,74.8,12.9,61.9,74.5,75.3,12.9,2022-04-17
291,2,141.9,32.4,97.1,74.8,12.8,62.0,74.4,75.3,12.9,2022-04-17
292,3,141.8,32.2,97.2,74.8,12.7,62.1,74.6,75.3,12.9,2022-04-17
293,4,141.9,32.4,97.1,74.8,12.6,62.2,74.6,75.3,12.8,2022-04-17
294,5,142.0,32.5,97.1,74.9,12.6,62.3,74.6,75.3,12.7,2022-04-17
295,6,141.9,32.4,97.1,74.7,12.5,62.2,74.5,75.3,12.7,2022-04-17
296,7,141.8,32.3,97.1,74.9,12.7,62.2,74.6,75.3,12.7,2022-04-17
297,8,141.5,31.9,97.2,74.8,12.7,62.1,74.6,75.3,13.0,2022-04-17
298,9,141.8,32.2,97.2,74.9,13.0,61.9,74.6,75.3,13.1,2022-04-17
299,10,137.4,32.2,92.8,74.9,12.7,62.2,74.7,75.3,12.9,2022-04-17
300,11,135.8,32.3,91.1,75.0,12.7,62.3,74.8,75.4,12.9,2022-04-17
301,12,135.9,32.4,91.1,74.9,12.6,62.3,74.7,75.4,12.7,2022-04-17
302,13,135.8,32.3,91.1,74.9,12.5,62.4,74.7,75.4,12.6,2022-04-17
303,14,135.6,32.2,91.0,74.8,12.4,62.4,74.6,75.3,12.6,2022-04-17
